a = 3402315.263323; b = 5050000.343311; cout = 4038649896607.652832
a = 3404330.241061; b = 5100001.134451; cout = 4013463413784.953613
a = 3404331.692930; b = 5110001.234546; cout = 4015803643484.591797
a = 3404333.144798; b = 5120001.334641; cout = 4018344635534.605957
a = 3404334.596667; b = 5130001.434737; cout = 4021086389934.992676
a = 3404336.048536; b = 5140001.534832; cout = 4024028906685.764160
a = 3404337.500404; b = 5150001.634927; cout = 4027172185786.913086
a = 3404338.952273; b = 5160001.735022; cout = 4030516227238.441895
a = 3404340.404142; b = 5170001.835117; cout = 4034061031040.368652
a = 3404341.856010; b = 5180001.935212; cout = 4037806597192.663574
a = 3404343.307879; b = 5190002.035307; cout = 4041752925695.340332
a = 3404344.759748; b = 5200002.135402; cout = 4045900016548.386230
a = 3404346.211616; b = 5210002.235498; cout = 4050247869751.825195
a = 3404347.663485; b = 5220002.335593; cout = 4054796485305.635742
a = 3405321.033441; b = 5010000.378927; cout = 3984192033123.531738
a = 3405322.485309; b = 5020000.479022; cout = 3985017190884.678223
a = 3405323.937178; b = 5030000.579117; cout = 3986043110996.230957
a = 3405325.389047; b = 5040000.679213; cout = 3987269793458.122070
a = 3405326.840915; b = 5050000.779308; cout = 3988697238270.436523
a = 3405328.292784; b = 5060000.879403; cout = 3990325445433.109375
a = 3405329.744653; b = 5070000.979498; cout = 3992154414946.182617
a = 3405331.196521; b = 5080001.079593; cout = 3994184146809.604004
a = 3405332.648390; b = 5090001.179688; cout = 3996414641023.428223
a = 3405334.100259; b = 5100001.279783; cout = 3998845897587.620117
a = 3405335.552127; b = 5110001.379878; cout = 4001477916502.223145
a = 3405337.003996; b = 5120001.479974; cout = 4004310697767.177246
a = 3405338.455865; b = 5130001.580069; cout = 4007344241382.514648
a = 3405339.907733; b = 5140001.680164; cout = 4010578547348.226074
a = 3405341.359602; b = 5150001.780259; cout = 4014013615664.329590
a = 3405342.811470; b = 5160001.880354; cout = 4017649446330.816895
a = 3405344.263339; b = 5170001.980449; cout = 4021486039347.671875
a = 3405345.715208; b = 5180002.080544; cout = 4025523394714.922852
a = 3405347.167076; b = 5190002.180640; cout = 4029761512432.536621
a = 3405348.618945; b = 5200002.280735; cout = 4034200392500.560547
a = 3405350.070814; b = 5210002.380830; cout = 4038840034918.935547
a = 3405351.522682; b = 5220002.480925; cout = 4043680439687.717285
a = 3405352.974551; b = 5230002.581020; cout = 4048721606806.858398
a = 3405354.426420; b = 5240002.681115; cout = 4053963536276.391602
a = 3406323.440769; b = 5000000.424164; cout = 3966606653206.178223
a = 3406324.892638; b = 5010000.524259; cout = 3967522837831.901855
a = 3406326.344507; b = 5020000.624354; cout = 3968639784808.020020
a = 3406327.796375; b = 5030000.724450; cout = 3969957494134.502930
a = 3406329.248244; b = 5040000.824545; cout = 3971475965811.380859
a = 3406330.700113; b = 5050000.924640; cout = 3973195199838.622070
a = 3406332.151981; b = 5060001.024735; cout = 3975115196216.252441
a = 3406333.603850; b = 5070001.124830; cout = 3977235954944.254395
a = 3406335.055719; b = 5080001.224925; cout = 3979557476022.643066
a = 3406336.507587; b = 5090001.325020; cout = 3982079759451.429688
a = 3406337.959456; b = 5100001.425116; cout = 3984802805230.579102
a = 3406339.411325; b = 5110001.525211; cout = 3987726613360.116211
a = 3406340.863193; b = 5120001.625306; cout = 3990851183840.029297
a = 3406342.315062; b = 5130001.725401; cout = 3994176516670.318359
a = 3406343.766931; b = 5140001.825496; cout = 3997702611851.000000
a = 3406345.218799; b = 5150001.925591; cout = 4001429469382.062500
a = 3406346.670668; b = 5160002.025686; cout = 4005357089263.492188
a = 3406348.122537; b = 5170002.125781; cout = 4009485471495.303223
a = 3406349.574405; b = 5180002.225877; cout = 4013814616077.504395
a = 3406351.026274; b = 5190002.325972; cout = 4018344523010.075195
a = 3406352.478143; b = 5200002.426067; cout = 4023075192293.029297
a = 3406353.930011; b = 5210002.526162; cout = 4028006623926.366699
a = 3406355.381880; b = 5220002.626257; cout = 4033138817910.078613
a = 3406356.833749; b = 5230002.726352; cout = 4038471774244.178711
a = 3406358.285617; b = 5240002.826447; cout = 4044005492928.663086
a = 3406359.737486; b = 5250002.926543; cout = 4049739973963.521973
a = 3407324.396230; b = 4980000.369306; cout = 3948406431909.716309
a = 3407325.848098; b = 4990000.469401; cout = 3949212881049.630859
a = 3407327.299967; b = 5000000.569496; cout = 3950220092539.924805
a = 3407328.751836; b = 5010000.669592; cout = 3951428066380.604004
a = 3407330.203704; b = 5020000.769687; cout = 3952836802571.666016
a = 3407331.655573; b = 5030000.869782; cout = 3954446301113.104980
a = 3407333.107442; b = 5040000.969877; cout = 3956256562004.910645
a = 3407334.559310; b = 5050001.069972; cout = 3958267585247.126465
a = 3407336.011179; b = 5060001.170067; cout = 3960479370839.699707
a = 3407337.463048; b = 5070001.270162; cout = 3962891918782.666504
a = 3407338.914916; b = 5080001.370257; cout = 3965505229076.009277
a = 3407340.366785; b = 5090001.470353; cout = 3968319301719.729492
a = 3407341.818654; b = 5100001.570448; cout = 3971334136713.831543
a = 3407343.270522; b = 5110001.670543; cout = 3974549734058.310547
a = 3407344.722391; b = 5120001.770638; cout = 3977966093753.179688
a = 3407346.174260; b = 5130001.870733; cout = 3981583215798.436035
a = 3407347.626128; b = 5140001.970828; cout = 3985401100194.055664
a = 3407349.077997; b = 5150002.070923; cout = 3989419746940.065430
a = 3407350.529866; b = 5160002.171019; cout = 3993639156036.442383
a = 3407351.981734; b = 5170002.271114; cout = 3998059327483.223145
a = 3407353.433603; b = 5180002.371209; cout = 4002680261280.368164
a = 3407354.885472; b = 5190002.471304; cout = 4007501957427.895020
a = 3407356.337340; b = 5200002.571399; cout = 4012524415925.797363
a = 3407357.789209; b = 5210002.671494; cout = 4017747636774.100586
a = 3407359.241078; b = 5220002.771589; cout = 4023171619972.776367
a = 3407360.692946; b = 5230002.871684; cout = 4028796365521.823730
a = 3407362.144815; b = 5240002.971780; cout = 4034621873421.250488
a = 3407363.596683; b = 5250003.071875; cout = 4040648143671.060547
a = 3407365.048552; b = 5260003.171970; cout = 4046875176271.253418
a = 3407366.500421; b = 5270003.272065; cout = 4053302971221.834961
a = 3408326.803558; b = 4970000.414543; cout = 3931113240649.342773
a = 3408328.255427; b = 4980000.514638; cout = 3932010716653.842773
a = 3408329.707296; b = 4990000.614733; cout = 3933108955008.694824
a = 3408331.159164; b = 5000000.714829; cout = 3934407955713.949707
a = 3408332.611033; b = 5010000.814924; cout = 3935907718769.580078
a = 3408334.062902; b = 5020000.915019; cout = 3937608244175.592773
a = 3408335.514770; b = 5030001.015114; cout = 3939509531931.986816
a = 3408336.966639; b = 5040001.115209; cout = 3941611582038.764160
a = 3408338.418508; b = 5050001.215304; cout = 3943914394495.920410
a = 3408339.870376; b = 5060001.315399; cout = 3946417969303.454102
a = 3408341.322245; b = 5070001.415495; cout = 3949122306461.360352
a = 3408342.774114; b = 5080001.515590; cout = 3952027405969.650391
a = 3408344.225982; b = 5090001.615685; cout = 3955133267828.323730
a = 3408345.677851; b = 5100001.715780; cout = 3958439892037.383301
a = 3408347.129720; b = 5110001.815875; cout = 3961947278596.830566
a = 3408348.581588; b = 5120001.915970; cout = 3965655427506.642578
a = 3408350.033457; b = 5130002.016065; cout = 3969564338766.842773
a = 3408351.485326; b = 5140002.116160; cout = 3973674012377.414551
a = 3408352.937194; b = 5150002.216256; cout = 3977984448338.381836
a = 3408354.389063; b = 5160002.316351; cout = 3982495646649.712402
a = 3408355.840932; b = 5170002.416446; cout = 3987207607311.443359
a = 3408357.292800; b = 5180002.516541; cout = 3992120330323.541016
a = 3408358.744669; b = 5190002.616636; cout = 3997233815686.025391
a = 3408360.196538; b = 5200002.716731; cout = 4002548063398.887207
a = 3408361.648406; b = 5210002.816826; cout = 4008063073462.132812
a = 3408363.100275; b = 5220002.916922; cout = 4013778845875.750000
a = 3408364.552144; b = 5230003.017017; cout = 4019695380639.751465
a = 3408366.004012; b = 5240003.117112; cout = 4025812677754.129395
a = 3408367.455881; b = 5250003.217207; cout = 4032130737218.902832
a = 3408368.907750; b = 5260003.317302; cout = 4038649559034.054199
a = 3408370.359618; b = 5270003.417397; cout = 4045369143199.580078
a = 3408371.811487; b = 5280003.517492; cout = 4052289489715.481445
a = 3409329.210887; b = 4960000.459780; cout = 3914011657149.779297
a = 3409330.662756; b = 4970000.559875; cout = 3915000160018.835449
a = 3409332.114625; b = 4980000.659970; cout = 3916189425238.273926
a = 3409333.566493; b = 4990000.760066; cout = 3917579452808.111328
a = 3409335.018362; b = 5000000.860161; cout = 3919170242728.305664
a = 3409336.470231; b = 5010000.960256; cout = 3920961794998.890137
a = 3409337.922099; b = 5020001.060351; cout = 3922954109619.845215
a = 3409339.373968; b = 5030001.160446; cout = 3925147186591.198730
a = 3409340.825837; b = 5040001.260541; cout = 3927541025912.916992
a = 3409342.277705; b = 5050001.360636; cout = 3930135627585.028320
a = 3409343.729574; b = 5060001.460732; cout = 3932930991607.507812
a = 3409345.181443; b = 5070001.560827; cout = 3935927117980.367188
a = 3409346.633311; b = 5080001.660922; cout = 3939124006703.620605
a = 3409348.085180; b = 5090001.761017; cout = 3942521657777.242188
a = 3409349.537049; b = 5100001.861112; cout = 3946120071201.245605
a = 3409350.988917; b = 5110001.961207; cout = 3949919246975.630371
a = 3409352.440786; b = 5120002.061302; cout = 3953919185100.398438
a = 3409353.892655; b = 5130002.161398; cout = 3958119885575.543457
a = 3409355.344523; b = 5140002.261493; cout = 3962521348401.080566
a = 3409356.796392; b = 5150002.361588; cout = 3967123573577.002441
a = 3409358.248261; b = 5160002.461683; cout = 3971926561103.291504
a = 3409359.700129; b = 5170002.561778; cout = 3976930310979.963379
a = 3409361.151998; b = 5180002.661873; cout = 3982134823207.020020
a = 3409362.603867; b = 5190002.761968; cout = 3987540097784.446777
a = 3409364.055735; b = 5200002.862063; cout = 3993146134712.270020
a = 3409365.507604; b = 5210002.962159; cout = 3998952933990.462891
a = 3409366.959473; b = 5220003.062254; cout = 4004960495619.031738
a = 3409368.411341; b = 5230003.162349; cout = 4011168819597.997559
a = 3409369.863210; b = 5240003.262444; cout = 4017577905927.326172
a = 3409371.315079; b = 5250003.362539; cout = 4024187754607.048340
a = 3409372.766947; b = 5260003.462634; cout = 4030998365637.133789
a = 3409374.218816; b = 5270003.562729; cout = 4038009739017.624023
a = 3409375.670685; b = 5280003.662825; cout = 4045221874748.479004
a = 3409377.122553; b = 5290003.762920; cout = 4052634772829.728516
a = 3410330.166348; b = 4940000.404922; cout = 3896222914027.733887
a = 3410331.618216; b = 4950000.505017; cout = 3897101681410.997070
a = 3410333.070085; b = 4960000.605112; cout = 3898181211144.619629
a = 3410334.521954; b = 4970000.705208; cout = 3899461503228.634277
a = 3410335.973822; b = 4980000.805303; cout = 3900942557663.018066
a = 3410337.425691; b = 4990000.905398; cout = 3902624374447.780762
a = 3410338.877560; b = 5000001.005493; cout = 3904506953582.939941
a = 3410340.329428; b = 5010001.105588; cout = 3906590295068.462891
a = 3410341.781297; b = 5020001.205683; cout = 3908874398904.404785
a = 3410343.233166; b = 5030001.305778; cout = 3911359265090.677246
a = 3410344.685034; b = 5040001.405874; cout = 3914044893627.367188
a = 3410346.136903; b = 5050001.505969; cout = 3916931284514.416016
a = 3410347.588771; b = 5060001.606064; cout = 3920018437751.864258
a = 3410349.040640; b = 5070001.706159; cout = 3923306353339.677734
a = 3410350.492509; b = 5080001.806254; cout = 3926795031277.876953
a = 3410351.944377; b = 5090001.906349; cout = 3930484471566.448242
a = 3410353.396246; b = 5100002.006444; cout = 3934374674205.416992
a = 3410354.848115; b = 5110002.106539; cout = 3938465639194.761230
a = 3410356.299983; b = 5120002.206635; cout = 3942757366534.482422
a = 3410357.751852; b = 5130002.306730; cout = 3947249856224.578125
a = 3410359.203721; b = 5140002.406825; cout = 3951943108265.054199
a = 3410360.655589; b = 5150002.506920; cout = 3956837122655.916992
a = 3410362.107458; b = 5160002.607015; cout = 3961931899397.162109
a = 3410363.559327; b = 5170002.707110; cout = 3967227438488.786621
a = 3410365.011195; b = 5180002.807205; cout = 3972723739930.787109
a = 3410366.463064; b = 5190002.907301; cout = 3978420803723.183105
a = 3410367.914933; b = 5200003.007396; cout = 3984318629865.942383
a = 3410369.366801; b = 5210003.107491; cout = 3990417218359.097168
a = 3410370.818670; b = 5220003.207586; cout = 3996716569202.619141
a = 3410372.270539; b = 5230003.307681; cout = 4003216682396.525391
a = 3410373.722407; b = 5240003.407776; cout = 4009917557940.822266
a = 3410375.174276; b = 5250003.507871; cout = 4016819195835.494141
a = 3410376.626145; b = 5260003.607966; cout = 4023921596080.541992
a = 3410378.078013; b = 5270003.708062; cout = 4031224758675.973633
a = 3410379.529882; b = 5280003.808157; cout = 4038728683621.775879
a = 3410380.981751; b = 5290003.908252; cout = 4046433370917.971680
a = 3410382.433619; b = 5300004.008347; cout = 4054338820564.536621
a = 3411332.573676; b = 4930000.450159; cout = 3879413519185.159180
a = 3411334.025545; b = 4940000.550254; cout = 3880383313432.982422
a = 3411335.477414; b = 4950000.650349; cout = 3881553870031.190430
a = 3411336.929282; b = 4960000.750445; cout = 3882925188979.768555
a = 3411338.381151; b = 4970000.850540; cout = 3884497270278.723633
a = 3411339.833020; b = 4980000.950635; cout = 3886270113928.076172
a = 3411341.284888; b = 4990001.050730; cout = 3888243719927.793945
a = 3411342.736757; b = 5000001.150825; cout = 3890418088277.901367
a = 3411344.188626; b = 5010001.250920; cout = 3892793218978.383301
a = 3411345.640494; b = 5020001.351015; cout = 3895369112029.243164
a = 3411347.092363; b = 5030001.451111; cout = 3898145767430.480957
a = 3411348.544232; b = 5040001.551206; cout = 3901123185182.110352
a = 3411349.996100; b = 5050001.651301; cout = 3904301365284.119141
a = 3411351.447969; b = 5060001.751396; cout = 3907680307736.506348
a = 3411352.899838; b = 5070001.851491; cout = 3911260012539.275391
a = 3411354.351706; b = 5080001.951586; cout = 3915040479692.437012
a = 3411355.803575; b = 5090002.051681; cout = 3919021709195.959961
a = 3411357.255444; b = 5100002.151777; cout = 3923203701049.882324
a = 3411358.707312; b = 5110002.251872; cout = 3927586455254.171387
a = 3411360.159181; b = 5120002.351967; cout = 3932169971808.842285
a = 3411361.611050; b = 5130002.452062; cout = 3936954250713.902832
a = 3411363.062918; b = 5140002.552157; cout = 3941939291969.341797
a = 3411364.514787; b = 5150002.652252; cout = 3947125095575.154785
a = 3411365.966656; b = 5160002.752347; cout = 3952511661531.346680
a = 3411367.418524; b = 5170002.852442; cout = 3958098989837.918945
a = 3411368.870393; b = 5180002.952538; cout = 3963887080494.873535
a = 3411370.322262; b = 5190003.052633; cout = 3969875933502.215820
a = 3411371.774130; b = 5200003.152728; cout = 3976065548859.928711
a = 3411373.225999; b = 5210003.252823; cout = 3982455926568.023926
a = 3411374.677868; b = 5220003.352918; cout = 3989047066626.500000
a = 3411376.129736; b = 5230003.453013; cout = 3995838969035.373535
a = 3411377.581605; b = 5240003.553108; cout = 4002831633794.614258
a = 3411379.033474; b = 5250003.653204; cout = 4010025060904.235352
a = 3411380.485342; b = 5260003.753299; cout = 4017419250364.234375
a = 3411381.937211; b = 5270003.853394; cout = 4025014202174.609863
a = 3411383.389080; b = 5280003.953489; cout = 4032809916335.370117
a = 3411384.840948; b = 5290004.053584; cout = 4040806392846.526855
a = 3411386.292817; b = 5300004.153679; cout = 4049003631708.051270
a = 3412334.981005; b = 4920000.495396; cout = 3862795732103.334473
a = 3412336.432874; b = 4930000.595491; cout = 3863856553215.744141
a = 3412337.884743; b = 4940000.695587; cout = 3865118136678.506348
a = 3412339.336611; b = 4950000.795682; cout = 3866580482491.673828
a = 3412340.788480; b = 4960000.895777; cout = 3868243590655.200684
a = 3412342.240349; b = 4970000.995872; cout = 3870107461169.118652
a = 3412343.692217; b = 4980001.095967; cout = 3872172094033.418945
a = 3412345.144086; b = 4990001.196062; cout = 3874437489248.098145
a = 3412346.595955; b = 5000001.296157; cout = 3876903646813.147949
a = 3412348.047823; b = 5010001.396252; cout = 3879570566728.596191
a = 3412349.499692; b = 5020001.496348; cout = 3882438248994.403809
a = 3412350.951561; b = 5030001.596443; cout = 3885506693610.610352
a = 3412352.403429; b = 5040001.696538; cout = 3888775900577.184082
a = 3412353.855298; b = 5050001.796633; cout = 3892245869894.140625
a = 3412355.307167; b = 5060001.896728; cout = 3895916601561.473633
a = 3412356.759035; b = 5070001.996823; cout = 3899788095579.202637
a = 3412358.210904; b = 5080002.096918; cout = 3903860351947.300293
a = 3412359.662773; b = 5090002.197014; cout = 3908133370665.776367
a = 3412361.114641; b = 5100002.297109; cout = 3912607151734.641113
a = 3412362.566510; b = 5110002.397204; cout = 3917281695153.878418
a = 3412364.018379; b = 5120002.497299; cout = 3922157000923.517578
a = 3412365.470247; b = 5130002.597394; cout = 3927233069043.524902
a = 3412366.922116; b = 5140002.697489; cout = 3932509899513.909180
a = 3412368.373985; b = 5150002.797584; cout = 3937987492334.670410
a = 3412369.825853; b = 5160002.897680; cout = 3943665847505.820801
a = 3412371.277722; b = 5170002.997775; cout = 3949544965027.349609
a = 3412372.729590; b = 5180003.097870; cout = 3955624844899.269043
a = 3412374.181459; b = 5190003.197965; cout = 3961905487121.551758
a = 3412375.633328; b = 5200003.298060; cout = 3968386891694.224121
a = 3412377.085196; b = 5210003.398155; cout = 3975069058617.261230
a = 3412378.537065; b = 5220003.498250; cout = 3981951987890.705078
a = 3412379.988934; b = 5230003.598345; cout = 3989035679514.507812
a = 3412381.440802; b = 5240003.698441; cout = 3996320133488.702637
a = 3412382.892671; b = 5250003.798536; cout = 4003805349813.270020
a = 3412384.344540; b = 5260003.898631; cout = 4011491328488.232910
a = 3412385.796408; b = 5270003.998726; cout = 4019378069513.569336
a = 3412387.248277; b = 5280004.098821; cout = 4027465572889.283203
a = 3412388.700146; b = 5290004.198916; cout = 4035753838615.376953
a = 3413335.936465; b = 4900000.440538; cout = 3845418467155.740234
a = 3413337.388334; b = 4910000.540633; cout = 3846369552782.332520
a = 3413338.840203; b = 4920000.640728; cout = 3847521400759.272949
a = 3413340.292071; b = 4930000.740824; cout = 3848874011086.630859
a = 3413341.743940; b = 4940000.840919; cout = 3850427383764.349121
a = 3413343.195809; b = 4950000.941014; cout = 3852181518792.459473
a = 3413344.647677; b = 4960001.041109; cout = 3854136416170.944824
a = 3413346.099546; b = 4970001.141204; cout = 3856292075899.811523
a = 3413347.551415; b = 4980001.241299; cout = 3858648497979.053223
a = 3413349.003283; b = 4990001.341394; cout = 3861205682408.689941
a = 3413350.455152; b = 5000001.441490; cout = 3863963629188.699707
a = 3413351.907021; b = 5010001.541585; cout = 3866922338319.085449
a = 3413353.358889; b = 5020001.641680; cout = 3870081809799.867188
a = 3413354.810758; b = 5030001.741775; cout = 3873442043631.013184
a = 3413356.262627; b = 5040001.841870; cout = 3877003039812.540039
a = 3413357.714495; b = 5050001.941965; cout = 3880764798344.454590
a = 3413359.166364; b = 5060002.042060; cout = 3884727319226.755859
a = 3413360.618233; b = 5070002.142156; cout = 3888890602459.424316
a = 3413362.070101; b = 5080002.242251; cout = 3893254648042.474609
a = 3413363.521970; b = 5090002.342346; cout = 3897819455975.904785
a = 3413364.973839; b = 5100002.442441; cout = 3902585026259.725586
a = 3413366.425707; b = 5110002.542536; cout = 3907551358893.918945
a = 3413367.877576; b = 5120002.642631; cout = 3912718453878.493164
a = 3413369.329445; b = 5130002.742726; cout = 3918086311213.438965
a = 3413370.781313; b = 5140002.842821; cout = 3923654930898.778320
a = 3413372.233182; b = 5150002.942917; cout = 3929424312934.494629
a = 3413373.685051; b = 5160003.043012; cout = 3935394457320.606934
a = 3413375.136919; b = 5170003.143107; cout = 3941565364057.085938
a = 3413376.588788; b = 5180003.243202; cout = 3947937033143.942383
a = 3413378.040657; b = 5190003.343297; cout = 3954509464581.182129
a = 3413379.492525; b = 5200003.443392; cout = 3961282658368.802246
a = 3413380.944394; b = 5210003.543487; cout = 3968256614506.809082
a = 3413382.396263; b = 5220003.643583; cout = 3975431332995.187500
a = 3413383.848131; b = 5230003.743678; cout = 3982806813833.958496
a = 3413385.300000; b = 5240003.843773; cout = 3990383057023.087402
a = 3413386.751869; b = 5250003.943868; cout = 3998160062562.631348
a = 3413388.203737; b = 5260004.043963; cout = 4006137830452.532227
a = 3413389.655606; b = 5270004.144058; cout = 4014316360692.817871
a = 3413391.107475; b = 5280004.244153; cout = 4022695653283.481934
a = 3414338.343794; b = 4890000.485775; cout = 3829092868730.921387
a = 3414339.795663; b = 4900000.585870; cout = 3830134981222.080566
a = 3414341.247532; b = 4910000.685966; cout = 3831377856063.606934
a = 3414342.699400; b = 4920000.786061; cout = 3832821493255.524902
a = 3414344.151269; b = 4930000.886156; cout = 3834465892797.814453
a = 3414345.603138; b = 4940000.986251; cout = 3836311054690.512207
a = 3414347.055006; b = 4950001.086346; cout = 3838356978933.562988
a = 3414348.506875; b = 4960001.186441; cout = 3840603665526.999023
a = 3414349.958744; b = 4970001.286536; cout = 3843051114470.811523
a = 3414351.410612; b = 4980001.386631; cout = 3845699325765.008301
a = 3414352.862481; b = 4990001.486727; cout = 3848548299409.595703
a = 3414354.314350; b = 5000001.586822; cout = 3851598035404.549805
a = 3414355.766218; b = 5010001.686917; cout = 3854848533749.890625
a = 3414357.218087; b = 5020001.787012; cout = 3858299794445.606445
a = 3414358.669956; b = 5030001.887107; cout = 3861951817491.728027
a = 3414360.121824; b = 5040001.987202; cout = 3865804602888.204590
a = 3414361.573693; b = 5050002.087297; cout = 3869858150635.065430
a = 3414363.025562; b = 5060002.187393; cout = 3874112460732.304688
a = 3414364.477430; b = 5070002.287488; cout = 3878567533179.935547
a = 3414365.929299; b = 5080002.387583; cout = 3883223367977.937012
a = 3414367.381168; b = 5090002.487678; cout = 3888079965126.325684
a = 3414368.833036; b = 5100002.587773; cout = 3893137324625.089355
a = 3414370.284905; b = 5110002.687868; cout = 3898395446474.245117
a = 3414371.736774; b = 5120002.787963; cout = 3903854330673.768066
a = 3414373.188642; b = 5130002.888059; cout = 3909513977223.682129
a = 3414374.640511; b = 5140002.988154; cout = 3915374386123.971680
a = 3414376.092380; b = 5150003.088249; cout = 3921435557374.639648
a = 3414377.544248; b = 5160003.188344; cout = 3927697490975.687500
a = 3414378.996117; b = 5170003.288439; cout = 3934160186927.115723
a = 3414380.447986; b = 5180003.388534; cout = 3940823645228.931152
a = 3414381.899854; b = 5190003.488629; cout = 3947687865881.121582
a = 3414383.351723; b = 5200003.588724; cout = 3954752848883.702637
a = 3414384.803592; b = 5210003.688820; cout = 3962018594236.657227
a = 3414386.255460; b = 5220003.788915; cout = 3969485101939.990234
a = 3414387.707329; b = 5230003.889010; cout = 3977152371993.706055
a = 3414389.159198; b = 5240003.989105; cout = 3985020404397.803223
a = 3414390.611066; b = 5250004.089200; cout = 3993089199152.274902
a = 3414392.062935; b = 5260004.189295; cout = 4001358756257.139160
a = 3414393.514803; b = 5270004.289390; cout = 4009829075712.368652
a = 3415340.751123; b = 4880000.531012; cout = 3812958878066.875000
a = 3415342.202992; b = 4890000.631107; cout = 3814092017422.593750
a = 3415343.654861; b = 4900000.731203; cout = 3815425919128.702148
a = 3415345.106729; b = 4910000.831298; cout = 3816960583185.181641
a = 3415346.558598; b = 4920000.931393; cout = 3818696009592.069336
a = 3415348.010467; b = 4930001.031488; cout = 3820632198349.301270
a = 3415349.462335; b = 4940001.131583; cout = 3822769149456.937012
a = 3415350.914204; b = 4950001.231678; cout = 3825106862914.945801
a = 3415352.366073; b = 4960001.331773; cout = 3827645338723.340332
a = 3415353.817941; b = 4970001.431869; cout = 3830384576882.112305
a = 3415355.269810; b = 4980001.531964; cout = 3833324577391.264160
a = 3415356.721678; b = 4990001.632059; cout = 3836465340250.783691
a = 3415358.173547; b = 5000001.732154; cout = 3839806865460.711426
a = 3415359.625416; b = 5010001.832249; cout = 3843349153020.996582
a = 3415361.077284; b = 5020001.932344; cout = 3847092202931.676270
a = 3415362.529153; b = 5030002.032439; cout = 3851036015192.728516
a = 3415363.981022; b = 5040002.132534; cout = 3855180589804.163086
a = 3415365.432890; b = 5050002.232630; cout = 3859525926765.975098
a = 3415366.884759; b = 5060002.332725; cout = 3864072026078.171875
a = 3415368.336628; b = 5070002.432820; cout = 3868818887740.758789
a = 3415369.788496; b = 5080002.532915; cout = 3873766511753.713379
a = 3415371.240365; b = 5090002.633010; cout = 3878914898117.048340
a = 3415372.692234; b = 5100002.733105; cout = 3884264046830.764160
a = 3415374.144102; b = 5110002.833200; cout = 3889813957894.863770
a = 3415375.595971; b = 5120002.933296; cout = 3895564631309.352051
a = 3415377.047840; b = 5130003.033391; cout = 3901516067074.209961
a = 3415378.499708; b = 5140003.133486; cout = 3907668265189.448242
a = 3415379.951577; b = 5150003.233581; cout = 3914021225655.064941
a = 3415381.403446; b = 5160003.333676; cout = 3920574948471.071777
a = 3415382.855314; b = 5170003.433771; cout = 3927329433637.464355
a = 3415384.307183; b = 5180003.533866; cout = 3934284681154.224121
a = 3415385.759052; b = 5190003.633962; cout = 3941440691021.366699
a = 3415387.210920; b = 5200003.734057; cout = 3948797463238.889160
a = 3415388.662789; b = 5210003.834152; cout = 3956354997806.796387
a = 3415390.114658; b = 5220003.934247; cout = 3964113294725.095703
a = 3415391.566526; b = 5230004.034342; cout = 3972072353993.758789
a = 3415393.018395; b = 5240004.134437; cout = 3980232175612.805664
