a = 3299112.316378; b = 6389998.786843; cout = 6752069965260.987305
a = 3310138.796996; b = 6279999.284450; cout = 6377796020273.547852
a = 3310140.248864; b = 6289999.384546; cout = 6376398021112.611328
a = 3310141.700733; b = 6299999.484641; cout = 6375200784302.055664
a = 3310143.152602; b = 6309999.584736; cout = 6374204309841.875977
a = 3311135.396850; b = 6229998.929307; cout = 6352156275437.692383
a = 3311136.848719; b = 6239999.029402; cout = 6350046253739.775391
a = 3311138.300587; b = 6249999.129497; cout = 6348136994392.327148
a = 3311139.752456; b = 6259999.229592; cout = 6346428497395.170898
a = 3311141.204325; b = 6269999.329687; cout = 6344920762748.441406
a = 3311142.656193; b = 6279999.429783; cout = 6343613790452.059570
a = 3311144.108062; b = 6289999.529878; cout = 6342507580506.102539
a = 3311145.559931; b = 6299999.629973; cout = 6341602132910.503906
a = 3312137.804179; b = 6219998.974544; cout = 6319108518215.096680
a = 3312139.256047; b = 6229999.074639; cout = 6317089523381.787109
a = 3312140.707916; b = 6239999.174734; cout = 6315271290898.845703
a = 3312142.159785; b = 6249999.274829; cout = 6313653820766.277344
a = 3312143.611653; b = 6259999.374925; cout = 6312237112984.125977
a = 3312145.063522; b = 6269999.475020; cout = 6311021167552.318359
a = 3312146.515391; b = 6279999.575115; cout = 6310005984470.944336
a = 3312147.967259; b = 6289999.675210; cout = 6309191563739.900391
a = 3313140.211508; b = 6209999.019781; cout = 6286252368753.279297
a = 3313141.663376; b = 6219999.119876; cout = 6284324400784.519531
a = 3313143.115245; b = 6229999.219971; cout = 6282597195166.181641
a = 3313144.567114; b = 6239999.320066; cout = 6281070751898.180664
a = 3313146.018982; b = 6249999.420162; cout = 6279745070980.606445
a = 3313147.470851; b = 6259999.520257; cout = 6278620152413.362305
a = 3313148.922720; b = 6269999.620352; cout = 6277695996196.535156
a = 3313150.374588; b = 6279999.720447; cout = 6276972602330.047852
a = 3314141.166968; b = 6189998.964923; cout = 6255625530506.828125
a = 3314142.618837; b = 6199999.065018; cout = 6253587827052.259766
a = 3314144.070705; b = 6209999.165113; cout = 6251750885948.087891
a = 3314145.522574; b = 6219999.265208; cout = 6250114707194.263672
a = 3314146.974443; b = 6229999.365304; cout = 6248679290790.871094
a = 3314148.426311; b = 6239999.465399; cout = 6247444636737.839844
a = 3314149.878180; b = 6249999.565494; cout = 6246410745035.171875
a = 3314151.330049; b = 6259999.665589; cout = 6245577615682.928711
a = 3314152.781917; b = 6269999.765684; cout = 6244945248681.027344
a = 3315143.574297; b = 6179999.010160; cout = 6223061569701.979492
a = 3315145.026165; b = 6189999.110255; cout = 6221114893111.966797
a = 3315146.478034; b = 6199999.210350; cout = 6219368978872.379883
a = 3315147.929903; b = 6209999.310445; cout = 6217823826983.149414
a = 3315149.381771; b = 6219999.410541; cout = 6216479437444.341797
a = 3315150.833640; b = 6229999.510636; cout = 6215335810255.866211
a = 3315152.285509; b = 6239999.610731; cout = 6214392945417.802734
a = 3315153.737377; b = 6249999.710826; cout = 6213650842930.106445
a = 3315155.189246; b = 6259999.810921; cout = 6213109502792.782227
a = 3316145.981626; b = 6169999.055397; cout = 6190689216657.930664
a = 3316147.433494; b = 6179999.155492; cout = 6188833566932.505859
a = 3316148.885363; b = 6189999.255587; cout = 6187178679557.462891
a = 3316150.337232; b = 6199999.355683; cout = 6185724554532.822266
a = 3316151.789100; b = 6209999.455778; cout = 6184471191858.557617
a = 3316153.240969; b = 6219999.555873; cout = 6183418591534.670898
a = 3316154.692838; b = 6229999.655968; cout = 6182566753561.150391
a = 3316156.144706; b = 6239999.756063; cout = 6181915677938.017578
a = 3316157.596575; b = 6249999.856158; cout = 6181465364665.294922
a = 3317146.937086; b = 6149999.000539; cout = 6160473856585.840820
a = 3317148.388954; b = 6159999.100634; cout = 6158508471374.603516
a = 3317149.840823; b = 6169999.200729; cout = 6156743848513.786133
a = 3317151.292692; b = 6179999.300824; cout = 6155179988003.328125
a = 3317152.744560; b = 6189999.400920; cout = 6153816889843.281250
a = 3317154.196429; b = 6199999.501015; cout = 6152654554033.565430
a = 3317155.648298; b = 6209999.601110; cout = 6151692980574.271484
a = 3317157.100166; b = 6219999.701205; cout = 6150932169465.322266
a = 3317158.552035; b = 6229999.801300; cout = 6150372120706.786133
a = 3317160.003904; b = 6239999.901395; cout = 6150012834298.607422
a = 3318149.344415; b = 6139999.045776; cout = 6128393692198.760742
a = 3318150.796283; b = 6149999.145871; cout = 6126519333852.127930
a = 3318152.248152; b = 6159999.245966; cout = 6124845737855.865234
a = 3318153.700021; b = 6169999.346062; cout = 6123372904209.993164
a = 3318155.151889; b = 6179999.446157; cout = 6122100832914.470703
a = 3318156.603758; b = 6189999.546252; cout = 6121029523969.370117
a = 3318158.055627; b = 6199999.646347; cout = 6120158977374.608398
a = 3318159.507495; b = 6209999.746442; cout = 6119489193130.240234
a = 3318160.959364; b = 6219999.846537; cout = 6119020171236.267578
a = 3318162.411233; b = 6229999.946632; cout = 6118751911692.666992
a = 3319151.751744; b = 6129999.091013; cout = 6096505135572.488281
a = 3319153.203612; b = 6139999.191108; cout = 6094721804090.409180
a = 3319154.655481; b = 6149999.291203; cout = 6093139234958.738281
a = 3319156.107350; b = 6159999.391299; cout = 6091757428177.410156
a = 3319157.559218; b = 6169999.491394; cout = 6090576383746.469727
a = 3319159.011087; b = 6179999.591489; cout = 6089596101665.916992
a = 3319160.462955; b = 6189999.691584; cout = 6088816581935.761719
a = 3319161.914824; b = 6199999.791679; cout = 6088237824555.969727
a = 3319163.366693; b = 6209999.891774; cout = 6087859829526.553711
a = 3319164.818561; b = 6219999.991869; cout = 6087682596847.515625
a = 3320154.159072; b = 6119999.136250; cout = 6064808186706.989258
a = 3320155.610941; b = 6129999.236345; cout = 6063115882089.485352
a = 3320157.062810; b = 6139999.336440; cout = 6061624339822.375000
a = 3320158.514678; b = 6149999.436536; cout = 6060333559905.616211
a = 3320159.966547; b = 6159999.536631; cout = 6059243542339.250977
a = 3320161.418416; b = 6169999.636726; cout = 6058354287123.262695
a = 3320162.870284; b = 6179999.736821; cout = 6057665794257.665039
a = 3320164.322153; b = 6189999.836916; cout = 6057178063742.434570
a = 3320165.774022; b = 6199999.937011; cout = 6056891095577.584961
a = 3320167.225890; b = 6210000.037106; cout = 6056804889763.143555
a = 3321155.114533; b = 6099999.081392; cout = 6035104885705.590820
a = 3321156.566401; b = 6109999.181487; cout = 6033302845602.278320
a = 3321158.018270; b = 6119999.281582; cout = 6031701567849.342773
a = 3321159.470139; b = 6129999.381678; cout = 6030301052446.783203
a = 3321160.922007; b = 6139999.481773; cout = 6029101299394.608398
a = 3321162.373876; b = 6149999.581868; cout = 6028102308692.798828
a = 3321163.825745; b = 6159999.681963; cout = 6027304080341.416992
a = 3321165.277613; b = 6169999.782058; cout = 6026706614340.372070
a = 3321166.729482; b = 6179999.882153; cout = 6026309910689.721680
a = 3321168.181351; b = 6189999.982248; cout = 6026113969389.448242
a = 3321169.633219; b = 6200000.082344; cout = 6026118790439.559570
a = 3322157.521861; b = 6089999.126629; cout = 6003700125497.087891
a = 3322158.973730; b = 6099999.226724; cout = 6001989112258.312500
a = 3322160.425599; b = 6109999.326819; cout = 6000478861369.931641
a = 3322161.877467; b = 6119999.426915; cout = 5999169372831.959961
a = 3322163.329336; b = 6129999.527010; cout = 5998060646644.360352
a = 3322164.781205; b = 6139999.627105; cout = 5997152682807.162109
a = 3322166.233073; b = 6149999.727200; cout = 5996445481320.305664
a = 3322167.684942; b = 6159999.827295; cout = 5995939042183.870117
a = 3322169.136811; b = 6169999.927390; cout = 5995633365397.777344
a = 3322170.588679; b = 6180000.027485; cout = 5995528450962.104492
a = 3322172.040548; b = 6190000.127581; cout = 5995624298876.785156
a = 3323159.929190; b = 6079999.171866; cout = 5972486973049.337891
a = 3323161.381059; b = 6089999.271961; cout = 5970866986675.165039
a = 3323162.832928; b = 6099999.372057; cout = 5969447762651.356445
a = 3323164.284796; b = 6109999.472152; cout = 5968229300977.933594
a = 3323165.736665; b = 6119999.572247; cout = 5967211601654.931641
a = 3323167.188534; b = 6129999.672342; cout = 5966394664682.264648
a = 3323168.640402; b = 6139999.772437; cout = 5965778490059.993164
a = 3323170.092271; b = 6149999.872532; cout = 5965363077788.091797
a = 3323171.544140; b = 6159999.972627; cout = 5965148427866.589844
a = 3323172.996008; b = 6170000.072722; cout = 5965134540295.482422
a = 3323174.447877; b = 6180000.172818; cout = 5965321415074.727539
a = 3324160.884651; b = 6059999.117008; cout = 5943195150222.344727
a = 3324162.336519; b = 6069999.217103; cout = 5941465428362.358398
a = 3324163.788388; b = 6079999.317198; cout = 5939936468852.743164
a = 3324165.240257; b = 6089999.417294; cout = 5938608271693.516602
a = 3324166.692125; b = 6099999.517389; cout = 5937480836884.712891
a = 3324168.143994; b = 6109999.617484; cout = 5936554164426.249023
a = 3324169.595862; b = 6119999.717579; cout = 5935828254318.156250
a = 3324171.047731; b = 6129999.817674; cout = 5935303106560.480469
a = 3324172.499600; b = 6139999.917769; cout = 5934978721153.150391
a = 3324173.951468; b = 6150000.017864; cout = 5934855098096.238281
a = 3324175.403337; b = 6160000.117960; cout = 5934932237389.666992
a = 3324176.855206; b = 6170000.218055; cout = 5935210139033.479492
a = 3325163.291979; b = 6049999.162245; cout = 5912274186431.584961
a = 3325164.743848; b = 6059999.262340; cout = 5910635491436.158203
a = 3325166.195717; b = 6069999.362436; cout = 5909197558791.141602
a = 3325167.647585; b = 6079999.462531; cout = 5907960388496.487305
a = 3325169.099454; b = 6089999.562626; cout = 5906923980552.250977
a = 3325170.551323; b = 6099999.662721; cout = 5906088334958.322266
a = 3325172.003191; b = 6109999.762816; cout = 5905453451714.845703
a = 3325173.455060; b = 6119999.862911; cout = 5905019330821.692383
a = 3325174.906929; b = 6129999.963006; cout = 5904785972278.975586
a = 3325176.358797; b = 6140000.063101; cout = 5904753376086.596680
a = 3325177.810666; b = 6150000.163197; cout = 5904921542244.609375
a = 3325179.262535; b = 6160000.263292; cout = 5905290470753.006836
a = 3326165.699308; b = 6039999.207482; cout = 5881544830401.628906
a = 3326167.151177; b = 6049999.307577; cout = 5879997162270.777344
a = 3326168.603046; b = 6059999.407673; cout = 5878650256490.333984
a = 3326170.054914; b = 6069999.507768; cout = 5877504113060.241211
a = 3326171.506783; b = 6079999.607863; cout = 5876558731980.537109
a = 3326172.958652; b = 6089999.707958; cout = 5875814113251.208008
a = 3326174.410520; b = 6099999.808053; cout = 5875270256872.308594
a = 3326175.862389; b = 6109999.908148; cout = 5874927162843.729492
a = 3326177.314258; b = 6120000.008243; cout = 5874784831165.573242
a = 3326178.766126; b = 6130000.108339; cout = 5874843261837.761719
a = 3326180.217995; b = 6140000.208434; cout = 5875102454860.370117
a = 3326181.669864; b = 6150000.308529; cout = 5875562410233.321289
a = 3327166.654768; b = 6019999.152624; cout = 5852664485749.086914
a = 3327168.106637; b = 6029999.252719; cout = 5851007082132.423828
a = 3327169.558506; b = 6039999.352815; cout = 5849550440866.168945
a = 3327171.010374; b = 6049999.452910; cout = 5848294561950.285156
a = 3327172.462243; b = 6059999.553005; cout = 5847239445384.774414
a = 3327173.914112; b = 6069999.653100; cout = 5846385091169.629883
a = 3327175.365980; b = 6079999.753195; cout = 5845731499304.883789
a = 3327176.817849; b = 6089999.853290; cout = 5845278669790.544922
a = 3327178.269718; b = 6099999.953385; cout = 5845026602626.524414
a = 3327179.721586; b = 6110000.053480; cout = 5844975297812.937500
a = 3327181.173455; b = 6120000.153576; cout = 5845124755349.688477
a = 3327182.625324; b = 6130000.253671; cout = 5845474975236.891602
a = 3327184.077192; b = 6140000.353766; cout = 5846025957474.397461
a = 3328169.062097; b = 6009999.197861; cout = 5822227318376.082031
a = 3328170.513966; b = 6019999.297956; cout = 5820660941624.008789
a = 3328171.965835; b = 6029999.398052; cout = 5819295327222.318359
a = 3328173.417703; b = 6039999.498147; cout = 5818130475171.002930
a = 3328174.869572; b = 6049999.598242; cout = 5817166385470.052734
a = 3328176.321441; b = 6059999.698337; cout = 5816403058119.518555
a = 3328177.773309; b = 6069999.798432; cout = 5815840493119.345703
a = 3328179.225178; b = 6079999.898527; cout = 5815478690469.553711
a = 3328180.677047; b = 6089999.998622; cout = 5815317650170.125977
a = 3328182.128915; b = 6100000.098718; cout = 5815357372221.106445
a = 3328183.580784; b = 6110000.198813; cout = 5815597856622.439453
a = 3328185.032653; b = 6120000.298908; cout = 5816039103374.171875
a = 3328186.484521; b = 6130000.399003; cout = 5816681112476.278320
a = 3329171.469426; b = 5999999.243098; cout = 5791981758763.875000
a = 3329172.921295; b = 6009999.343194; cout = 5790506408876.378906
a = 3329174.373163; b = 6019999.443289; cout = 5789231821339.250977
a = 3329175.825032; b = 6029999.543384; cout = 5788157996152.500000
a = 3329177.276901; b = 6039999.643479; cout = 5787284933316.123047
a = 3329178.728769; b = 6049999.743574; cout = 5786612632830.141602
a = 3329180.180638; b = 6059999.843669; cout = 5786141094694.551758
a = 3329181.632507; b = 6069999.943764; cout = 5785870318909.338867
a = 3329183.084375; b = 6080000.043859; cout = 5785800305474.498047
a = 3329184.536244; b = 6090000.143955; cout = 5785931054390.044922
a = 3329185.988113; b = 6100000.244050; cout = 5786262565655.969727
a = 3329187.439981; b = 6110000.344145; cout = 5786794839272.277344
a = 3329188.891850; b = 6120000.444240; cout = 5787527875238.958984
a = 3330173.876755; b = 5989999.288335; cout = 5761927806912.455078
a = 3330175.328624; b = 5999999.388431; cout = 5760543483889.522461
a = 3330176.780492; b = 6009999.488526; cout = 5759359923216.961914
a = 3330178.232361; b = 6019999.588621; cout = 5758377124894.791016
a = 3330179.684230; b = 6029999.688716; cout = 5757595088922.993164
a = 3330181.136098; b = 6039999.788811; cout = 5757013815301.598633
a = 3330182.587967; b = 6049999.888906; cout = 5756633304030.540039
a = 3330184.039836; b = 6059999.989001; cout = 5756453555109.907227
a = 3330185.491704; b = 6070000.089097; cout = 5756474568539.606445
a = 3330186.943573; b = 6080000.189192; cout = 5756696344319.759766
a = 3330188.395442; b = 6090000.289287; cout = 5757118882450.222656
a = 3330189.847310; b = 6100000.389382; cout = 5757742182931.120117
a = 3330191.299179; b = 6110000.489477; cout = 5758566245762.346680
a = 3331174.832215; b = 5969999.233477; cout = 5733559521330.536133
a = 3331176.284084; b = 5979999.333573; cout = 5732065462821.788086
a = 3331177.735953; b = 5989999.433668; cout = 5730772166663.422852
a = 3331179.187821; b = 5999999.533763; cout = 5729679632855.439453
a = 3331180.639690; b = 6009999.633858; cout = 5728787861397.852539
a = 3331182.091559; b = 6019999.733953; cout = 5728096852290.619141
a = 3331183.543427; b = 6029999.834048; cout = 5727606605533.811523
a = 3331184.995296; b = 6039999.934143; cout = 5727317121127.323242
a = 3331186.447165; b = 6050000.034238; cout = 5727228399071.266602
a = 3331187.899033; b = 6060000.134334; cout = 5727340439365.541016
a = 3331189.350902; b = 6070000.234429; cout = 5727653242010.265625
a = 3331190.802771; b = 6080000.334524; cout = 5728166807005.297852
a = 3331192.254639; b = 6090000.434619; cout = 5728881134350.740234
a = 3331193.706508; b = 6100000.534714; cout = 5729796224046.552734
a = 3332177.239544; b = 5959999.278714; cout = 5703797758136.093750
a = 3332178.691413; b = 5969999.378810; cout = 5702394726491.923828
a = 3332180.143281; b = 5979999.478905; cout = 5701192457198.116211
a = 3332181.595150; b = 5989999.579000; cout = 5700190950254.711914
a = 3332183.047019; b = 5999999.679095; cout = 5699390205661.682617
a = 3332184.498887; b = 6009999.779190; cout = 5698790223419.044922
a = 3332185.950756; b = 6019999.879285; cout = 5698391003526.768555
a = 3332187.402625; b = 6029999.979380; cout = 5698192545984.874023
a = 3332188.854493; b = 6040000.079476; cout = 5698194850793.368164
a = 3332190.306362; b = 6050000.179571; cout = 5698397917952.256836
a = 3332191.758231; b = 6060000.279666; cout = 5698801747461.503906
a = 3332193.210099; b = 6070000.379761; cout = 5699406339321.149414
a = 3332194.661968; b = 6080000.479856; cout = 5700211693531.161133
a = 3332196.113837; b = 6090000.579951; cout = 5701217810091.557617
a = 3333179.646873; b = 5949999.323952; cout = 5674227602702.462891
a = 3333181.098742; b = 5959999.424047; cout = 5672915597922.872070
a = 3333182.550610; b = 5969999.524142; cout = 5671804355493.610352
a = 3333184.002479; b = 5979999.624237; cout = 5670893875414.781250
a = 3333185.454348; b = 5989999.724332; cout = 5670184157686.324219
a = 3333186.906216; b = 5999999.824427; cout = 5669675202308.216797
a = 3333188.358085; b = 6009999.924522; cout = 5669367009280.537109
a = 3333189.809954; b = 6020000.024617; cout = 5669259578603.206055
a = 3333191.261822; b = 6030000.124713; cout = 5669352910276.294922
a = 3333192.713691; b = 6040000.224808; cout = 5669647004299.721680
a = 3333194.165560; b = 6050000.324903; cout = 5670141860673.564453
a = 3333195.617428; b = 6060000.424998; cout = 5670837479397.753906
a = 3333197.069297; b = 6070000.525093; cout = 5671733860472.348633
a = 3333198.521166; b = 6080000.625188; cout = 5672831003897.318359
a = 3334180.602333; b = 5929999.269093; cout = 5646270795294.980469
a = 3334182.054202; b = 5939999.369189; cout = 5644849055029.567383
a = 3334183.506070; b = 5949999.469284; cout = 5643628077114.537109
a = 3334184.957939; b = 5959999.569379; cout = 5642607861549.897461
a = 3334186.409808; b = 5969999.669474; cout = 5641788408335.625000
a = 3334187.861676; b = 5979999.769569; cout = 5641169717471.748047
a = 3334189.313545; b = 5989999.869664; cout = 5640751788958.224609
a = 3334190.765414; b = 5999999.969759; cout = 5640534622795.104492
a = 3334192.217282; b = 6010000.069855; cout = 5640518218982.340820
a = 3334193.669151; b = 6020000.169950; cout = 5640702577519.999023
a = 3334195.121020; b = 6030000.270045; cout = 5641087698407.980469
a = 3334196.572888; b = 6040000.370140; cout = 5641673581646.366211
a = 3334198.024757; b = 6050000.470235; cout = 5642460227235.158203
a = 3334199.476626; b = 6060000.570330; cout = 5643447635174.331055
a = 3334200.928494; b = 6070000.670425; cout = 5644635805463.863281
a = 3335183.009662; b = 5919999.314331; cout = 5616992828518.315430
a = 3335184.461531; b = 5929999.414426; cout = 5615662115117.451172
a = 3335185.913399; b = 5939999.514521; cout = 5614532164067.016602
a = 3335187.365268; b = 5949999.614616; cout = 5613602975366.923828
a = 3335188.817137; b = 5959999.714711; cout = 5612874549017.247070
a = 3335190.269005; b = 5969999.814806; cout = 5612346885017.916992
a = 3335191.720874; b = 5979999.914901; cout = 5612019983368.979492
a = 3335193.172743; b = 5990000.014996; cout = 5611893844070.437500
a = 3335194.624611; b = 6000000.115092; cout = 5611968467122.248047
a = 3335196.076480; b = 6010000.215187; cout = 5612243852524.449219
a = 3335197.528349; b = 6020000.315282; cout = 5612720000277.019531
a = 3335198.980217; b = 6030000.415377; cout = 5613396910380.005859
a = 3335200.432086; b = 6040000.515472; cout = 5614274582833.357422
a = 3335201.883955; b = 6050000.615567; cout = 5615353017637.089844
a = 3335203.335823; b = 6060000.715662; cout = 5616632214791.176758
a = 3336185.416991; b = 5909999.359568; cout = 5587906469502.424805
a = 3336186.868860; b = 5919999.459663; cout = 5586666782966.125977
a = 3336188.320728; b = 5929999.559758; cout = 5585627858780.271484
a = 3336189.772597; b = 5939999.659853; cout = 5584789696944.750000
a = 3336191.224466; b = 5949999.759948; cout = 5584152297459.621094
a = 3336192.676334; b = 5959999.860043; cout = 5583715660324.862305
a = 3336194.128203; b = 5969999.960138; cout = 5583479785540.511719
a = 3336195.580072; b = 5980000.060234; cout = 5583444673106.521484
a = 3336197.031940; b = 5990000.160329; cout = 5583610323022.918945
a = 3336198.483809; b = 6000000.260424; cout = 5583976735289.715820
a = 3336199.935678; b = 6010000.360519; cout = 5584543909906.856445
a = 3336201.387546; b = 6020000.460614; cout = 5585311846874.422852
a = 3336202.839415; b = 6030000.560709; cout = 5586280546192.318359
a = 3336204.291283; b = 6040000.660804; cout = 5587450007860.630859
a = 3336205.743152; b = 6050000.760899; cout = 5588820231879.290039
a = 3337186.372451; b = 5889999.304709; cout = 5560361140269.363281
a = 3337187.824320; b = 5899999.404805; cout = 5559011718247.298828
a = 3337189.276188; b = 5909999.504900; cout = 5557863058575.592773
a = 3337190.728057; b = 5919999.604995; cout = 5556915161254.282227
a = 3337192.179926; b = 5929999.705090; cout = 5556168026283.333984
a = 3337193.631794; b = 5939999.805185; cout = 5555621653662.792969
a = 3337195.083663; b = 5949999.905280; cout = 5555276043392.616211
a = 3337196.535532; b = 5960000.005375; cout = 5555131195472.818359
a = 3337197.987400; b = 5970000.105471; cout = 5555187109903.402344
a = 3337199.439269; b = 5980000.205566; cout = 5555443786684.366211
a = 3337200.891138; b = 5990000.305661; cout = 5555901225815.701172
a = 3337202.343006; b = 6000000.405756; cout = 5556559427297.442383
a = 3337203.794875; b = 6010000.505851; cout = 5557418391129.552734
a = 3337205.246744; b = 6020000.605946; cout = 5558478117312.050781
a = 3337206.698612; b = 6030000.706041; cout = 5559738605844.908203
a = 3337208.150481; b = 6040000.806137; cout = 5561199856728.158203
a = 3338188.779780; b = 5879999.349947; cout = 5531566969910.431641
a = 3338190.231649; b = 5889999.450042; cout = 5530308574752.948242
a = 3338191.683517; b = 5899999.550137; cout = 5529250941945.805664
a = 3338193.135386; b = 5909999.650232; cout = 5528394071489.069336
a = 3338194.587255; b = 5919999.750327; cout = 5527737963382.708984
a = 3338196.039123; b = 5929999.850422; cout = 5527282617626.762695
a = 3338197.490992; b = 5939999.950517; cout = 5527028034221.143555
a = 3338198.942861; b = 5950000.050613; cout = 5526974213165.917969
a = 3338200.394729; b = 5960000.150708; cout = 5527121154461.061523
a = 3338201.846598; b = 5970000.250803; cout = 5527468858106.611328
a = 3338203.298467; b = 5980000.350898; cout = 5528017324102.533203
a = 3338204.750335; b = 5990000.450993; cout = 5528766552448.854492
a = 3338206.202204; b = 6000000.551088; cout = 5529716543145.504883
a = 3338207.654073; b = 6010000.651183; cout = 5530867296192.565430
a = 3338209.105941; b = 6020000.751278; cout = 5532218811590.003906
a = 3338210.557810; b = 6030000.851374; cout = 5533771089337.842773
a = 3339191.187109; b = 5869999.395184; cout = 5502964407312.332031
a = 3339192.638977; b = 5879999.495279; cout = 5501797039019.394531
a = 3339194.090846; b = 5889999.595374; cout = 5500830433076.823242
a = 3339195.542715; b = 5899999.695469; cout = 5500064589484.647461
a = 3339196.994583; b = 5909999.795564; cout = 5499499508242.865234
a = 3339198.446452; b = 5919999.895659; cout = 5499135189351.461914
a = 3339199.898321; b = 5929999.995754; cout = 5498971632810.424805
a = 3339201.350189; b = 5940000.095850; cout = 5499008838619.760742
a = 3339202.802058; b = 5950000.195945; cout = 5499246806779.500000
a = 3339204.253927; b = 5960000.296040; cout = 5499685537289.597656
a = 3339205.705795; b = 5970000.396135; cout = 5500325030150.125000
a = 3339207.157664; b = 5980000.496230; cout = 5501165285360.981445
a = 3339208.609533; b = 5990000.596325; cout = 5502206302922.241211
a = 3339210.061401; b = 6000000.696420; cout = 5503448082833.860352
a = 3339211.513270; b = 6010000.796516; cout = 5504890625095.875977
a = 3339212.965139; b = 6020000.896611; cout = 5506533929708.293945
a = 3340193.594438; b = 5859999.440421; cout = 5474553452474.991211
a = 3340195.046306; b = 5869999.540516; cout = 5473477111046.643555
a = 3340196.498175; b = 5879999.640611; cout = 5472601531968.642578
a = 3340197.950044; b = 5889999.740706; cout = 5471926715241.055664
a = 3340199.401912; b = 5899999.840801; cout = 5471452660863.837891
a = 3340200.853781; b = 5909999.940896; cout = 5471179368836.982422
a = 3340202.305650; b = 5920000.040991; cout = 5471106839160.495117
