a = 3478458.778814; b = 4630003.893907; cout = 925927939750.363037
a = 3486462.066889; b = 4440003.154757; cout = 756699997609.563354
a = 3486463.518758; b = 4450003.254852; cout = 763100401896.425171
a = 3486464.970627; b = 4460003.354947; cout = 769701568533.658081
a = 3486466.422495; b = 4470003.455043; cout = 776503497521.277954
a = 3486467.874364; b = 4480003.555138; cout = 783506188859.277588
a = 3486469.326233; b = 4490003.655233; cout = 790709642547.654419
a = 3486470.778101; b = 4500003.755328; cout = 798113858586.412842
a = 3486472.229970; b = 4510003.855423; cout = 805718836975.552612
a = 3486473.681839; b = 4520003.955518; cout = 813524577715.072632
a = 3486475.133707; b = 4530004.055613; cout = 821531080804.978271
a = 3486476.585576; b = 4540004.155709; cout = 829738346245.257446
a = 3486478.037445; b = 4550004.255804; cout = 838146374035.921387
a = 3487458.666744; b = 4390002.799614; cout = 721630140206.582275
a = 3487460.118612; b = 4400002.899709; cout = 727318521956.485474
a = 3487461.570481; b = 4410002.999804; cout = 733207666056.776611
a = 3487463.022350; b = 4420003.099899; cout = 739297572507.440674
a = 3487464.474218; b = 4430003.199994; cout = 745588241308.488525
a = 3487465.926087; b = 4440003.300089; cout = 752079672459.912842
a = 3487467.377956; b = 4450003.400185; cout = 758771865961.720581
a = 3487468.829824; b = 4460003.500280; cout = 765664821813.910400
a = 3487470.281693; b = 4470003.600375; cout = 772758540016.485107
a = 3487471.733562; b = 4480003.700470; cout = 780053020569.430542
a = 3487473.185430; b = 4490003.800565; cout = 787548263472.760620
a = 3487474.637299; b = 4500003.900660; cout = 795244268726.470581
a = 3487476.089168; b = 4510004.000755; cout = 803141036330.567993
a = 3487477.541036; b = 4520004.100850; cout = 811238566285.036621
a = 3487478.992905; b = 4530004.200946; cout = 819536858589.889771
a = 3487480.444774; b = 4540004.301041; cout = 828035913245.123901
a = 3488458.170335; b = 4360002.644661; cout = 699389354030.187500
a = 3488459.622204; b = 4370002.744756; cout = 704767237943.900635
a = 3488461.074073; b = 4380002.844851; cout = 710345884207.995850
a = 3488462.525941; b = 4390002.944946; cout = 716125292822.472046
a = 3488463.977810; b = 4400003.045041; cout = 722105463787.326660
a = 3488465.429679; b = 4410003.145136; cout = 728286397102.565796
a = 3488466.881547; b = 4420003.245231; cout = 734668092768.181885
a = 3488468.333416; b = 4430003.345326; cout = 741250550784.181885
a = 3488469.785284; b = 4440003.445422; cout = 748033771150.562988
a = 3488471.237153; b = 4450003.545517; cout = 755017753867.323608
a = 3488472.689022; b = 4460003.645612; cout = 762202498934.460938
a = 3488474.140890; b = 4470003.745707; cout = 769588006351.981201
a = 3488475.592759; b = 4480003.845802; cout = 777174276119.883057
a = 3488477.044628; b = 4490003.945897; cout = 784961308238.165894
a = 3488478.496496; b = 4500004.045992; cout = 792949102706.830566
a = 3488479.948365; b = 4510004.146088; cout = 801137659525.875000
a = 3488481.400234; b = 4520004.246183; cout = 809526978695.299438
a = 3488482.852102; b = 4530004.346278; cout = 818117060215.104614
a = 3489459.125795; b = 4340002.589802; cout = 682846503635.333496
a = 3489460.577664; b = 4350002.689898; cout = 688114652063.235229
a = 3489462.029533; b = 4360002.789993; cout = 693583562841.519775
a = 3489463.481401; b = 4370002.890088; cout = 699253235970.184692
a = 3489464.933270; b = 4380002.990183; cout = 705123671449.238647
a = 3489466.385139; b = 4390003.090278; cout = 711194869278.665649
a = 3489467.837007; b = 4400003.190373; cout = 717466829458.474121
a = 3489469.288876; b = 4410003.290468; cout = 723939551988.656738
a = 3489470.740745; b = 4420003.390564; cout = 730613036869.236816
a = 3489472.192613; b = 4430003.490659; cout = 737487284100.182251
a = 3489473.644482; b = 4440003.590754; cout = 744562293681.508301
a = 3489475.096351; b = 4450003.690849; cout = 751838065613.222290
a = 3489476.548219; b = 4460003.790944; cout = 759314599895.310181
a = 3489478.000088; b = 4470003.891039; cout = 766991896527.789185
a = 3489479.451957; b = 4480003.991134; cout = 774869955510.644409
a = 3489480.903825; b = 4490004.091229; cout = 782948776843.877441
a = 3489482.355694; b = 4500004.191325; cout = 791228360527.489868
a = 3489483.807563; b = 4510004.291420; cout = 799708706561.486328
a = 3489485.259431; b = 4520004.391515; cout = 808389814945.866821
a = 3490458.629387; b = 4310002.434849; cout = 661556319030.774536
a = 3490460.081256; b = 4320002.534944; cout = 666513969622.490112
a = 3490461.533124; b = 4330002.635039; cout = 671672382564.584595
a = 3490462.984993; b = 4340002.735135; cout = 677031557857.062012
a = 3490464.436862; b = 4350002.835230; cout = 682591495499.917847
a = 3490465.888730; b = 4360002.935325; cout = 688352195493.161621
a = 3490467.340599; b = 4370003.035420; cout = 694313657836.781128
a = 3490468.792468; b = 4380003.135515; cout = 700475882530.779053
a = 3490470.244336; b = 4390003.235610; cout = 706838869575.157104
a = 3490471.696205; b = 4400003.335705; cout = 713402618969.919556
a = 3490473.148074; b = 4410003.435801; cout = 720167130715.060303
a = 3490474.599942; b = 4420003.535896; cout = 727132404810.580688
a = 3490476.051811; b = 4430003.635991; cout = 734298441256.483276
a = 3490477.503680; b = 4440003.736086; cout = 741665240052.766357
a = 3490478.955548; b = 4450003.836181; cout = 749232801199.429688
a = 3490480.407417; b = 4460003.936276; cout = 757001124696.475830
a = 3490481.859286; b = 4470004.036371; cout = 764970210543.898926
a = 3490483.311154; b = 4480004.136467; cout = 773140058741.703857
a = 3490484.763023; b = 4490004.236562; cout = 781510669289.886841
a = 3490486.214892; b = 4500004.336657; cout = 790082042188.458252
a = 3490487.666760; b = 4510004.436752; cout = 798854177437.406006
a = 3491458.132978; b = 4280002.279896; cout = 640896684130.235474
a = 3491459.584847; b = 4290002.379991; cout = 645543836885.769897
a = 3491461.036716; b = 4300002.480086; cout = 650391751991.668823
a = 3491462.488584; b = 4310002.580181; cout = 655440429447.958496
a = 3491463.940453; b = 4320002.680277; cout = 660689869254.622314
a = 3491465.392322; b = 4330002.780372; cout = 666140071411.669067
a = 3491466.844190; b = 4340002.880467; cout = 671791035919.101440
a = 3491468.296059; b = 4350002.980562; cout = 677642762776.906982
a = 3491469.747928; b = 4360003.080657; cout = 683695251985.099121
a = 3491471.199796; b = 4370003.180752; cout = 689948503543.669067
a = 3491472.651665; b = 4380003.280847; cout = 696402517452.618408
a = 3491474.103534; b = 4390003.380943; cout = 703057293711.955444
a = 3491475.555402; b = 4400003.481038; cout = 709912832321.669189
a = 3491477.007271; b = 4410003.581133; cout = 716969133281.755737
a = 3491478.459140; b = 4420003.681228; cout = 724226196592.230469
a = 3491479.911008; b = 4430003.781323; cout = 731684022253.085205
a = 3491481.362877; b = 4440003.881418; cout = 739342610264.322632
a = 3491482.814746; b = 4450003.981513; cout = 747201960625.937378
a = 3491484.266614; b = 4460004.081608; cout = 755262073337.931519
a = 3491485.718483; b = 4470004.181704; cout = 763522948400.306030
a = 3491487.170352; b = 4480004.281799; cout = 771984585813.066284
a = 3491488.622220; b = 4490004.381894; cout = 780646985576.208374
a = 3491490.074089; b = 4500004.481989; cout = 789510147689.724854
a = 3492457.636570; b = 4250002.124943; cout = 620867598933.714355
a = 3492459.088439; b = 4260002.225038; cout = 625204253853.045166
a = 3492460.540307; b = 4270002.325133; cout = 629741671122.771851
a = 3492461.992176; b = 4280002.425228; cout = 634479850742.864624
a = 3492463.444045; b = 4290002.525323; cout = 639418792713.343506
a = 3492464.895913; b = 4300002.625418; cout = 644558497034.201782
a = 3492466.347782; b = 4310002.725514; cout = 649898963705.438843
a = 3492467.799651; b = 4320002.825609; cout = 655440192727.063110
a = 3492469.251519; b = 4330002.925704; cout = 661182184099.061646
a = 3492470.703388; b = 4340003.025799; cout = 667124937821.441528
a = 3492472.155257; b = 4350003.125894; cout = 673268453894.201050
a = 3492473.607125; b = 4360003.225989; cout = 679612732317.340942
a = 3492475.058994; b = 4370003.326084; cout = 686157773090.866699
a = 3492476.510863; b = 4380003.426180; cout = 692903576214.768921
a = 3492477.962731; b = 4390003.526275; cout = 699850141689.050781
a = 3492479.414600; b = 4400003.626370; cout = 706997469513.715088
a = 3492480.866469; b = 4410003.726465; cout = 714345559688.759888
a = 3492482.318337; b = 4420003.826560; cout = 721894412214.187988
a = 3492483.770206; b = 4430003.926655; cout = 729644027089.990601
a = 3492485.222075; b = 4440004.026750; cout = 737594404316.180176
a = 3492486.673943; b = 4450004.126846; cout = 745745543892.743774
a = 3492488.125812; b = 4460004.226941; cout = 754097445819.692505
a = 3492489.577681; b = 4470004.327036; cout = 762650110097.026733
a = 3492491.029549; b = 4480004.427131; cout = 771403536724.731323
a = 3492492.481418; b = 4490004.527226; cout = 780357725702.820801
a = 3493537.076106; b = 4220004.932160; cout = 600890291344.654297
a = 3493458.592030; b = 4230002.070085; cout = 605495220524.365601
a = 3493460.043899; b = 4240002.170180; cout = 609722139957.882812
a = 3493461.495768; b = 4250002.270275; cout = 614149821741.793213
a = 3493462.947636; b = 4260002.370370; cout = 618778265876.080566
a = 3493464.399505; b = 4270002.470465; cout = 623607472360.746094
a = 3493465.851374; b = 4280002.570560; cout = 628637441195.794556
a = 3493467.303242; b = 4290002.670656; cout = 633868172381.220337
a = 3493468.755111; b = 4300002.770751; cout = 639299665917.034424
a = 3493470.206980; b = 4310002.870846; cout = 644931921803.224609
a = 3493471.658848; b = 4320002.970941; cout = 650764940039.793457
a = 3493473.110717; b = 4330003.071036; cout = 656798720626.743408
a = 3493474.562585; b = 4340003.171131; cout = 663033263564.077881
a = 3493476.014454; b = 4350003.271226; cout = 669468568851.795654
a = 3493477.466323; b = 4360003.371321; cout = 676104636489.885498
a = 3493478.918191; b = 4370003.471417; cout = 682941466478.361084
a = 3493480.370060; b = 4380003.571512; cout = 689979058817.215454
a = 3493481.821929; b = 4390003.671607; cout = 697217413506.449585
a = 3493483.273797; b = 4400003.771702; cout = 704656530546.068726
a = 3493484.725666; b = 4410003.871797; cout = 712296409936.064331
a = 3493486.177535; b = 4420003.971892; cout = 720137051676.441284
a = 3493487.629403; b = 4430004.071987; cout = 728178455767.199097
a = 3493489.081272; b = 4440004.172083; cout = 736420622208.337402
a = 3493490.533141; b = 4450004.272178; cout = 744863550999.858154
a = 3493491.985009; b = 4460004.372273; cout = 753507242141.759521
a = 3493493.436878; b = 4470004.472368; cout = 762351695634.039307
a = 3493494.888747; b = 4480004.572463; cout = 771396911476.696533
a = 3494458.095622; b = 4200001.915132; cout = 586416736899.689941
a = 3494459.547490; b = 4210002.015227; cout = 590333158497.017578
a = 3494460.999359; b = 4220002.115322; cout = 594450342444.738403
a = 3494462.451228; b = 4230002.215417; cout = 598768288742.838989
a = 3494463.903096; b = 4240002.315512; cout = 603286997391.320435
a = 3494465.354965; b = 4250002.415607; cout = 608006468390.174072
a = 3494466.806834; b = 4260002.515702; cout = 612926701739.410645
a = 3494468.258702; b = 4270002.615797; cout = 618047697439.029541
a = 3494469.710571; b = 4280002.715893; cout = 623369455489.028809
a = 3494471.162440; b = 4290002.815988; cout = 628891975889.409546
a = 3494472.614308; b = 4300002.916083; cout = 634615258640.169556
a = 3494474.066177; b = 4310003.016178; cout = 640539303741.313965
a = 3494475.518046; b = 4320003.116273; cout = 646664111192.832520
a = 3494476.969914; b = 4330003.216368; cout = 652989680994.743408
a = 3494478.421783; b = 4340003.316463; cout = 659516013147.024658
a = 3494479.873652; b = 4350003.416559; cout = 666243107649.689087
a = 3494481.325520; b = 4360003.516654; cout = 673170964502.734253
a = 3494482.777389; b = 4370003.616749; cout = 680299583706.161255
a = 3494484.229258; b = 4380003.716844; cout = 687628965259.969116
a = 3494485.681126; b = 4390003.816939; cout = 695159109164.159668
a = 3494487.132995; b = 4400003.917034; cout = 702890015418.723145
a = 3494488.584864; b = 4410004.017129; cout = 710821684023.674438
a = 3494490.036732; b = 4420004.117225; cout = 718954114978.999146
a = 3494491.488601; b = 4430004.217320; cout = 727287308284.713501
a = 3494492.940470; b = 4440004.317415; cout = 735821263940.801147
a = 3494494.392338; b = 4450004.417510; cout = 744555981947.273071
a = 3494495.844207; b = 4460004.517605; cout = 753491462304.122437
a = 3494497.296076; b = 4470004.617700; cout = 762627705011.358521
a = 3495457.599213; b = 4170001.760178; cout = 567968802979.027588
a = 3495459.051082; b = 4180001.860273; cout = 571574726740.173584
a = 3495460.502951; b = 4190001.960369; cout = 575381412851.699463
a = 3495461.954819; b = 4200002.060464; cout = 579388861313.605957
a = 3495463.406688; b = 4210002.160559; cout = 583597072125.897339
a = 3495464.858557; b = 4220002.260654; cout = 588006045288.562988
a = 3495466.310425; b = 4230002.360749; cout = 592615780801.605957
a = 3495467.762294; b = 4240002.460844; cout = 597426278665.036499
a = 3495469.214163; b = 4250002.560939; cout = 602437538878.843872
a = 3495470.666031; b = 4260002.661035; cout = 607649561443.039429
a = 3495472.117900; b = 4270002.761130; cout = 613062346357.612793
a = 3495473.569769; b = 4280002.861225; cout = 618675893622.563110
a = 3495475.021637; b = 4290002.961320; cout = 624490203237.895996
a = 3495476.473506; b = 4300003.061415; cout = 630505275203.609009
a = 3495477.925375; b = 4310003.161510; cout = 636721109519.704712
a = 3495479.377243; b = 4320003.261605; cout = 643137706186.179321
a = 3495480.829112; b = 4330003.361700; cout = 649755065203.034302
a = 3495482.280981; b = 4340003.461796; cout = 656573186570.267578
a = 3495483.732849; b = 4350003.561891; cout = 663592070287.884766
a = 3495485.184718; b = 4360003.661986; cout = 670811716355.886475
a = 3495486.636587; b = 4370003.762081; cout = 678232124774.261963
a = 3495488.088455; b = 4380003.862176; cout = 685853295543.019653
a = 3495489.540324; b = 4390003.962271; cout = 693675228662.156494
a = 3495490.992193; b = 4400004.062366; cout = 701697924131.677124
a = 3495492.444061; b = 4410004.162462; cout = 709921381951.584351
a = 3495493.895930; b = 4420004.262557; cout = 718345602121.861206
a = 3495495.347798; b = 4430004.362652; cout = 726970584642.525024
a = 3495496.799667; b = 4440004.462747; cout = 735796329513.569214
a = 3495498.251536; b = 4450004.562842; cout = 744822836734.988403
a = 3495499.703404; b = 4460004.662937; cout = 754050106306.797485
a = 3496458.554673; b = 4150001.705320; cout = 553446844687.345459
a = 3496460.006542; b = 4160001.805415; cout = 556943032962.676392
a = 3496461.458411; b = 4170001.905511; cout = 560639983588.397095
a = 3496462.910279; b = 4180002.005606; cout = 564537696564.492798
a = 3496464.362148; b = 4190002.105701; cout = 568636171890.967651
a = 3496465.814017; b = 4200002.205796; cout = 572935409567.832764
a = 3496467.265885; b = 4210002.305891; cout = 577435409595.064697
a = 3496468.717754; b = 4220002.405986; cout = 582136171972.684082
a = 3496470.169623; b = 4230002.506081; cout = 587037696700.683838
a = 3496471.621491; b = 4240002.606176; cout = 592139983779.068726
a = 3496473.073360; b = 4250002.706272; cout = 597443033207.830566
a = 3496474.525229; b = 4260002.806367; cout = 602946844986.975342
a = 3496475.977097; b = 4270002.906462; cout = 608651419116.495483
a = 3496477.428966; b = 4280003.006557; cout = 614556755596.399902
a = 3496478.880835; b = 4290003.106652; cout = 620662854426.687500
a = 3496480.332703; b = 4300003.206747; cout = 626969715607.355225
a = 3496481.784572; b = 4310003.306842; cout = 633477339138.397095
a = 3496483.236441; b = 4320003.406938; cout = 640185725019.824341
a = 3496484.688309; b = 4330003.507033; cout = 647094873251.630249
a = 3496486.140178; b = 4340003.607128; cout = 654204783833.823730
a = 3496487.592047; b = 4350003.707223; cout = 661515456766.389160
a = 3496489.043915; b = 4360003.807318; cout = 669026892049.336670
a = 3496490.495784; b = 4370003.907413; cout = 676739089682.667480
a = 3496491.947653; b = 4380004.007508; cout = 684652049666.375732
a = 3496493.399521; b = 4390004.107603; cout = 692765772000.469604
a = 3496494.851390; b = 4400004.207699; cout = 701080256684.941040
a = 3496496.303259; b = 4410004.307794; cout = 709595503719.793701
a = 3496497.755127; b = 4420004.407889; cout = 718311513105.025024
a = 3496499.206996; b = 4430004.507984; cout = 727228284840.638916
a = 3496500.658865; b = 4440004.608079; cout = 736345818926.637085
a = 3496502.110733; b = 4450004.708174; cout = 745664115363.010376
a = 3497458.058265; b = 4120001.550367; cout = 535949512338.516479
a = 3497459.510134; b = 4130001.650462; cout = 539135202777.669617
a = 3497460.962002; b = 4140001.750557; cout = 542521655567.195984
a = 3497462.413871; b = 4150001.850652; cout = 546108870707.102478
a = 3497463.865740; b = 4160001.950748; cout = 549896848197.390259
a = 3497465.317608; b = 4170002.050843; cout = 553885588038.057373
a = 3497466.769477; b = 4180002.150938; cout = 558075090229.111816
a = 3497468.221346; b = 4190002.251033; cout = 562465354770.540527
a = 3497469.673214; b = 4200002.351128; cout = 567056381662.349976
a = 3497471.125083; b = 4210002.451223; cout = 571848170904.537598
a = 3497472.576952; b = 4220002.551318; cout = 576840722497.118652
a = 3497474.028820; b = 4230002.651414; cout = 582034036440.064087
a = 3497475.480689; b = 4240002.751509; cout = 587428112733.400635
a = 3497476.932558; b = 4250002.851604; cout = 593022951377.110840
a = 3497478.384426; b = 4260002.951699; cout = 598818552371.208374
a = 3497479.836295; b = 4270003.051794; cout = 604814915715.683228
a = 3497481.288164; b = 4280003.151889; cout = 611012041410.540161
a = 3497482.740032; b = 4290003.251984; cout = 617409929455.778442
a = 3497484.191901; b = 4300003.352079; cout = 624008579851.395996
a = 3497485.643770; b = 4310003.452175; cout = 630807992597.390137
a = 3497487.095638; b = 4320003.552270; cout = 637808167693.771851
a = 3497488.547507; b = 4330003.652365; cout = 645009105140.531982
a = 3497489.999376; b = 4340003.752460; cout = 652410804937.670776
a = 3497491.451244; b = 4350003.852555; cout = 660013267085.191528
a = 3497492.903113; b = 4360003.952650; cout = 667816491583.089966
a = 3497494.354982; b = 4370004.052745; cout = 675820478431.376587
a = 3497495.806850; b = 4380004.152841; cout = 684025227630.038330
a = 3497497.258719; b = 4390004.252936; cout = 692430739179.080078
a = 3497498.710588; b = 4400004.353031; cout = 701037013078.502319
a = 3497500.162456; b = 4410004.453126; cout = 709844049328.307129
a = 3497501.614325; b = 4420004.553221; cout = 718851847928.494873
a = 3497503.066194; b = 4430004.653316; cout = 728060408879.058594
a = 3497504.518062; b = 4440004.753411; cout = 737469732180.005615
a = 3498457.561857; b = 4090001.395414; cout = 519082729693.719910
a = 3498459.013725; b = 4100001.495509; cout = 521957922296.671753
a = 3498460.465594; b = 4110001.595604; cout = 525033877250.017395
a = 3498461.917463; b = 4120001.695699; cout = 528310594553.733948
a = 3498463.369331; b = 4130001.795794; cout = 531788074207.831055
a = 3498464.821200; b = 4140001.895890; cout = 535466316212.309570
a = 3498466.273069; b = 4150001.995985; cout = 539345320567.167725
a = 3498467.724937; b = 4160002.096080; cout = 543425087272.414307
a = 3498469.176806; b = 4170002.196175; cout = 547705616328.034485
a = 3498470.628675; b = 4180002.296270; cout = 552186907734.032959
a = 3498472.080543; b = 4190002.396365; cout = 556868961490.414917
a = 3498473.532412; b = 4200002.496460; cout = 561751777597.173096
a = 3498474.984281; b = 4210002.596555; cout = 566835356054.325562
a = 3498476.436149; b = 4220002.696651; cout = 572119696861.843872
a = 3498477.888018; b = 4230002.796746; cout = 577604800019.751465
a = 3498479.339887; b = 4240002.896841; cout = 583290665528.031006
a = 3498480.791755; b = 4250002.996936; cout = 589177293386.703857
a = 3498482.243624; b = 4260003.097031; cout = 595264683595.746216
a = 3498483.695492; b = 4270003.197126; cout = 601552836155.172974
a = 3498485.147361; b = 4280003.297221; cout = 608041751064.981567
a = 3498486.599230; b = 4290003.397317; cout = 614731428325.170776
a = 3498488.051098; b = 4300003.497412; cout = 621621867935.740967
a = 3498489.502967; b = 4310003.597507; cout = 628713069896.691162
a = 3498490.954836; b = 4320003.697602; cout = 636005034208.020386
a = 3498492.406704; b = 4330003.797697; cout = 643497760869.730835
a = 3498493.858573; b = 4340003.897792; cout = 651191249881.822754
a = 3498495.310442; b = 4350003.997887; cout = 659085501244.296753
a = 3498496.762310; b = 4360004.097982; cout = 667180514957.150146
a = 3498498.214179; b = 4370004.198078; cout = 675476291020.382324
a = 3498499.666048; b = 4380004.298173; cout = 683972829433.998779
a = 3498501.117916; b = 4390004.398268; cout = 692670130197.990601
a = 3498502.569785; b = 4400004.498363; cout = 701568193312.368530
a = 3498504.021654; b = 4410004.598458; cout = 710667018777.124512
a = 3498505.473522; b = 4420004.698553; cout = 719966606592.261963
a = 3498506.925391; b = 4430004.798648; cout = 729466956757.780518
a = 3499458.517317; b = 4070001.340556; cout = 505411191519.707397
a = 3499459.969185; b = 4080001.440651; cout = 508176648636.853760
a = 3499461.421054; b = 4090001.540746; cout = 511142868104.387634
a = 3499462.872923; b = 4100001.640841; cout = 514309849922.294006
a = 3499464.324791; b = 4110001.740936; cout = 517677594090.582581
a = 3499465.776660; b = 4120001.841031; cout = 521246100609.248291
a = 3499467.228529; b = 4130001.941127; cout = 525015369478.298706
a = 3499468.680397; b = 4140002.041222; cout = 528985400697.727966
a = 3499470.132266; b = 4150002.141317; cout = 533156194267.539246
a = 3499471.584135; b = 4160002.241412; cout = 537527750187.728638
a = 3499473.036003; b = 4170002.341507; cout = 542100068458.302429
a = 3499474.487872; b = 4180002.441602; cout = 546873149079.252502
a = 3499475.939741; b = 4190002.541697; cout = 551846992050.593262
a = 3499477.391609; b = 4200002.641793; cout = 557021597372.308838
a = 3499478.843478; b = 4210002.741888; cout = 562396965044.404175
a = 3499480.295347; b = 4220002.841983; cout = 567973095066.878906
a = 3499481.747215; b = 4230002.942078; cout = 573749987439.732666
a = 3499483.199084; b = 4240003.042173; cout = 579727642162.974243
a = 3499484.650953; b = 4250003.142268; cout = 585906059236.590332
a = 3499486.102821; b = 4260003.242363; cout = 592285238660.590088
a = 3499487.554690; b = 4270003.342458; cout = 598865180434.967285
a = 3499489.006559; b = 4280003.442554; cout = 605645884559.727905
a = 3499490.458427; b = 4290003.542649; cout = 612627351034.868774
a = 3499491.910296; b = 4300003.642744; cout = 619809579860.387939
a = 3499493.362165; b = 4310003.742839; cout = 627192571036.290649
a = 3499494.814033; b = 4320003.842934; cout = 634776324562.571655
a = 3499496.265902; b = 4330003.943029; cout = 642560840439.236084
a = 3499497.717771; b = 4340004.043124; cout = 650546118666.279663
a = 3499499.169639; b = 4350004.143220; cout = 658732159243.705078
a = 3499500.621508; b = 4360004.243315; cout = 667118962171.509888
a = 3499502.073377; b = 4370004.343410; cout = 675706527449.694458
a = 3499503.525245; b = 4380004.443505; cout = 684494855078.262939
a = 3499504.977114; b = 4390004.543600; cout = 693483945057.207764
a = 3499506.428983; b = 4400004.643695; cout = 702673797386.534546
a = 3499507.880851; b = 4410004.743790; cout = 712064412066.241333
a = 3499509.332720; b = 4420004.843885; cout = 721655789096.331177
a = 3500458.020908; b = 4040001.185603; cout = 489495010446.750000
a = 3500459.472777; b = 4050001.285698; cout = 491949969727.708862
a = 3500460.924646; b = 4060001.385793; cout = 494605691359.045715
a = 3500462.376514; b = 4070001.485888; cout = 497462175340.770142
a = 3500463.828383; b = 4080001.585983; cout = 500519421672.868591
a = 3500465.280252; b = 4090001.686078; cout = 503777430355.345764
a = 3500466.732120; b = 4100001.786173; cout = 507236201388.205444
a = 3500468.183989; b = 4110001.886269; cout = 510895734771.444702
a = 3500469.635858; b = 4120001.986364; cout = 514756030505.072388
a = 3500471.087726; b = 4130002.086459; cout = 518817088589.070312
a = 3500472.539595; b = 4140002.186554; cout = 523078909023.454956
a = 3500473.991464; b = 4150002.286649; cout = 527541491808.215088
a = 3500475.443332; b = 4160002.386744; cout = 532204836943.356995
a = 3500476.895201; b = 4170002.486839; cout = 537068944428.884460
a = 3500478.347070; b = 4180002.586934; cout = 542133814264.785950
a = 3500479.798938; b = 4190002.687030; cout = 547399446451.071472
a = 3500481.250807; b = 4200002.787125; cout = 552865840987.733643
a = 3500482.702676; b = 4210002.887220; cout = 558532997874.786133
a = 3500484.154544; b = 4220002.987315; cout = 564400917112.215210
a = 3500485.606413; b = 4230003.087410; cout = 570469598700.023804
a = 3500487.058282; b = 4240003.187505; cout = 576739042638.209229
a = 3500488.510150; b = 4250003.287600; cout = 583209248926.778687
a = 3500489.962019; b = 4260003.387696; cout = 589880217565.730103
a = 3500491.413888; b = 4270003.487791; cout = 596751948555.064575
a = 3500492.865756; b = 4280003.587886; cout = 603824441894.774292
