a = 3531408.455138; b = 3373627.713062; cout = 187666254558.831879
a = 3541315.354611; b = 3472274.246738; cout = 133300036142.853348
a = 3541316.786794; b = 3482138.756888; cout = 136215591627.846741
a = 3541318.218977; b = 3492003.267037; cout = 139326502155.159119
a = 3541319.651160; b = 3501867.777187; cout = 142632767724.790863
a = 3541321.083343; b = 3511732.287336; cout = 146134388336.740753
a = 3541322.515526; b = 3521596.797485; cout = 149831363991.006073
a = 3541323.947709; b = 3531461.307635; cout = 153723694687.591400
a = 3541325.379892; b = 3541325.817784; cout = 157811380426.493866
a = 3541326.812075; b = 3551190.327933; cout = 162094421207.715607
a = 3541328.244258; b = 3561054.838083; cout = 166572817031.252594
a = 3541329.676441; b = 3570919.348232; cout = 171246567897.110718
a = 3541331.108624; b = 3580783.858381; cout = 176115673805.282806
a = 3541332.540807; b = 3590648.368531; cout = 181180134755.776337
a = 3541333.972990; b = 3600512.878680; cout = 186439950748.586975
a = 3541335.405172; b = 3610377.388830; cout = 191895121783.717255
a = 3551184.872757; b = 3107291.104782; cout = 68981992546.882614
a = 3551156.373667; b = 3117153.313544; cout = 67704724055.303703
a = 3551157.805850; b = 3127017.823693; cout = 66423960721.763603
a = 3551159.238033; b = 3136882.333843; cout = 65338552430.536781
a = 3551160.670216; b = 3146746.843992; cout = 64448499181.627785
a = 3551162.102399; b = 3156611.354142; cout = 63753800975.046028
a = 3551163.534582; b = 3166475.864291; cout = 63254457810.776596
a = 3551164.966765; b = 3176340.374440; cout = 62950469688.817398
a = 3551166.398948; b = 3186204.884590; cout = 62841836609.178062
a = 3551167.831131; b = 3196069.394739; cout = 62928558571.858574
a = 3551169.263314; b = 3205933.904888; cout = 63210635576.863968
a = 3551170.695497; b = 3215798.415038; cout = 63688067624.179787
a = 3551172.127680; b = 3225662.925187; cout = 64360854713.816620
a = 3551173.559863; b = 3235527.435337; cout = 65228996845.770538
a = 3551174.992046; b = 3245391.945486; cout = 66292494020.045425
a = 3551176.424229; b = 3255256.455635; cout = 67551346236.632393
a = 3551177.856412; b = 3265120.965785; cout = 69005553495.539185
a = 3551179.288595; b = 3274985.475934; cout = 70655115796.765411
a = 3551180.720778; b = 3284849.986083; cout = 72500033140.310501
a = 3551182.152961; b = 3294714.496233; cout = 74540305526.169601
a = 3551183.585144; b = 3304579.006382; cout = 76775932954.349472
a = 3551185.017327; b = 3314443.516531; cout = 79206915424.847275
a = 3551186.449509; b = 3324308.026681; cout = 81833252937.663635
a = 3551187.881692; b = 3334172.536830; cout = 84654945492.795013
a = 3551189.313875; b = 3344037.046980; cout = 87671993090.247040
a = 3551190.746058; b = 3353901.557129; cout = 90884395730.015793
a = 3551192.178241; b = 3363766.067278; cout = 94292153412.103363
a = 3551193.610424; b = 3373630.577428; cout = 97895266136.506668
a = 3551195.042607; b = 3383495.087577; cout = 101693733903.231216
a = 3551196.474790; b = 3393359.597726; cout = 105687556712.270416
a = 3551197.906973; b = 3403224.107876; cout = 109876734563.629852
a = 3551199.339156; b = 3413088.618025; cout = 114261267457.304596
a = 3551200.771339; b = 3422953.128175; cout = 118841155393.302536
a = 3551202.203522; b = 3432817.638324; cout = 123616398371.614258
a = 3551203.635705; b = 3442682.148473; cout = 128586996392.244904
a = 3551205.067888; b = 3452546.658623; cout = 133752949455.189926
a = 3561050.281629; b = 2979053.247555; cout = 31377763606.961262
a = 3561030.332932; b = 2988916.113785; cout = 30299671721.630474
a = 3561031.765115; b = 2998780.623935; cout = 29315755542.856960
a = 3561033.197298; b = 3008645.134084; cout = 28527194406.406960
a = 3561034.629481; b = 3018509.644233; cout = 27933988312.274921
a = 3561036.061663; b = 3028374.154383; cout = 27536137260.459709
a = 3561037.493846; b = 3038238.664532; cout = 27333641250.961178
a = 3561038.926029; b = 3048103.174681; cout = 27326500283.781250
a = 3561040.358212; b = 3057967.684831; cout = 27514714358.919544
a = 3561041.790395; b = 3067832.194980; cout = 27898283476.374527
a = 3561043.222578; b = 3077696.705130; cout = 28477207636.149082
a = 3561044.654761; b = 3087561.215279; cout = 29251486838.240025
a = 3561046.086944; b = 3097425.725428; cout = 30221121082.650578
a = 3561047.519127; b = 3107290.235578; cout = 31386110369.377583
a = 3561048.951310; b = 3117154.745727; cout = 32746454698.423256
a = 3561050.383493; b = 3127019.255876; cout = 34302154069.787239
a = 3561051.815676; b = 3136883.766026; cout = 36053208483.469086
a = 3561053.247859; b = 3146748.276175; cout = 37999617939.468353
a = 3561054.680042; b = 3156612.786325; cout = 40141382437.785599
a = 3561056.112225; b = 3166477.296474; cout = 42478501978.420738
a = 3561057.544408; b = 3176341.806623; cout = 45010976561.374130
a = 3561058.976591; b = 3186206.316773; cout = 47738806186.645607
a = 3561060.408774; b = 3196070.826922; cout = 50661990854.234154
a = 3561061.840957; b = 3205935.337071; cout = 53780530564.141022
a = 3561063.273140; b = 3215799.847221; cout = 57094425316.365036
a = 3561048.913242; b = 3225663.699138; cout = 60564979495.196808
a = 3570915.689276; b = 2850815.390266; cout = 8791328410.051521
a = 3570904.292196; b = 2860678.914026; cout = 7945094666.673923
a = 3570905.724379; b = 2870543.424176; cout = 7258025642.676086
a = 3570907.156562; b = 2880407.934325; cout = 6766311660.999645
a = 3570908.588745; b = 2890272.444474; cout = 6469952721.638867
a = 3570910.020928; b = 2900136.954624; cout = 6368948824.598726
a = 3570911.453111; b = 2910001.464773; cout = 6463299969.874507
a = 3570912.885294; b = 2919865.974923; cout = 6753006157.469012
a = 3570914.317477; b = 2929730.485072; cout = 7238067387.379882
a = 3570915.749660; b = 2939594.995221; cout = 7918483659.610187
a = 3570917.181843; b = 2949459.505371; cout = 8794254974.157740
a = 3570918.614026; b = 2959324.015520; cout = 9865381331.023594
a = 3570920.046209; b = 2969188.525669; cout = 11131862730.207518
a = 3570921.478392; b = 2979053.035819; cout = 12593699171.709177
a = 3570915.006638; b = 2988917.216450; cout = 14241387921.054317
a = 3580781.099372; b = 2722577.533102; cout = 1222676613.207347
a = 3580778.251461; b = 2732441.714268; cout = 640992890.441711
a = 3580779.683644; b = 2742306.224417; cout = 250771021.219738
a = 3580773.211890; b = 2752170.405048; cout = 56283753.302887
