a = 3482139.775109; b = 4527769.226884; cout = 835214477569.827515
a = 3521630.452133; b = 4162787.092828; cout = 556675309836.675903
a = 3531408.455138; b = 3373627.713062; cout = 187666254558.831879
a = 3531409.887321; b = 3383492.223211; cout = 185791796915.750214
a = 3531411.319504; b = 3393356.733360; cout = 184112694314.972321
a = 3531412.751687; b = 3403221.243510; cout = 182628946756.513367
a = 3531414.183870; b = 3413085.753659; cout = 181340554240.380005
a = 3531415.616052; b = 3422950.263809; cout = 180247516766.572601
a = 3531417.048235; b = 3432814.773958; cout = 179349834335.058563
a = 3531418.480418; b = 3442679.284107; cout = 178647506945.875122
a = 3531419.912601; b = 3452543.794257; cout = 178140534599.006439
a = 3531421.344784; b = 3462408.304406; cout = 177828917294.462433
a = 3531422.776967; b = 3472272.814555; cout = 177712655032.234955
a = 3531424.209150; b = 3482137.324705; cout = 177791747812.326691
a = 3531425.641333; b = 3492001.834854; cout = 178066195634.730347
a = 3531427.073516; b = 3501866.345004; cout = 178535998499.454681
a = 3531428.505699; b = 3511730.855153; cout = 179201156406.489258
a = 3531429.937882; b = 3521595.365302; cout = 180061669355.853363
a = 3531431.370065; b = 3531459.875452; cout = 181117537347.531860
a = 3531432.802248; b = 3541324.385601; cout = 182368760381.529999
a = 3531434.234431; b = 3551188.895750; cout = 183815338457.839569
a = 3531435.666614; b = 3561053.405900; cout = 185457271576.474243
a = 3531437.098797; b = 3570917.916049; cout = 187294559737.425293
a = 3531438.530980; b = 3580782.426199; cout = 189327202940.692444
a = 3531439.963163; b = 3590646.936348; cout = 191555201186.278992
a = 3531441.395346; b = 3600511.446497; cout = 193978554474.178375
a = 3531442.827529; b = 3610375.956647; cout = 196597262804.401306
a = 3531444.259712; b = 3620240.466796; cout = 199411326176.942169
a = 3531445.691895; b = 3630104.976945; cout = 202420744591.798065
a = 3531447.124078; b = 3639969.487095; cout = 205625518048.973358
a = 3531448.556261; b = 3649833.997244; cout = 209025646548.467621
a = 3531449.988444; b = 3659698.507393; cout = 212621130090.280365
a = 3531451.420627; b = 3669563.017543; cout = 216411968674.405884
a = 3531452.852810; b = 3679427.527692; cout = 220398162300.852081
a = 3531454.284993; b = 3689292.037842; cout = 224579710969.617767
a = 3531455.717176; b = 3699156.547991; cout = 228956614680.701355
a = 3531457.149359; b = 3709021.058140; cout = 233528873434.100372
a = 3531458.581542; b = 3718885.568290; cout = 238296487229.819458
a = 3531460.013725; b = 3728750.078439; cout = 243259456067.856110
a = 3531461.445908; b = 3738614.588588; cout = 248417779948.210938
a = 3531462.878091; b = 3748479.098738; cout = 253771458870.881531
a = 3531464.310274; b = 3758343.608887; cout = 259320492835.873108
a = 3531465.742457; b = 3768208.119037; cout = 265064881843.180328
a = 3531467.174640; b = 3778072.629186; cout = 271004625892.806976
a = 3531468.606823; b = 3787937.139335; cout = 277139724984.748413
a = 3531470.039006; b = 3797801.649485; cout = 283470179119.012146
a = 3531471.471189; b = 3807666.159634; cout = 289995988295.591248
a = 3531472.903372; b = 3817530.669783; cout = 296717152514.490051
a = 3531474.335555; b = 3827395.179933; cout = 303633671775.705322
a = 3531475.767738; b = 3837259.690082; cout = 310745546079.239624
a = 3531477.199921; b = 3847124.200232; cout = 318052775425.090088
a = 3531478.632104; b = 3856988.710381; cout = 325555359813.259827
a = 3531480.064287; b = 3866853.220530; cout = 333253299243.745239
a = 3531481.496470; b = 3876717.730680; cout = 341146593716.553162
a = 3531482.928653; b = 3886582.240829; cout = 349235243231.670959
a = 3531484.360836; b = 3896446.750978; cout = 357519247789.115845
a = 3531485.793018; b = 3906311.261128; cout = 365998607388.877625
a = 3531487.225201; b = 3916175.771277; cout = 374673322030.956421
a = 3531488.657384; b = 3926040.281426; cout = 383543391715.348022
a = 3531458.512177; b = 3935903.475456; cout = 392413141043.929382
a = 3541282.414402; b = 3245390.513303; cout = 120160251667.709732
a = 3541283.846585; b = 3255255.023452; cout = 118582641179.392288
a = 3541285.278768; b = 3265119.533602; cout = 117200385733.389297
a = 3541286.710951; b = 3274984.043751; cout = 116013485329.708359
a = 3541288.143134; b = 3284848.553900; cout = 115021939968.347809
a = 3541289.575317; b = 3294713.064050; cout = 114225749649.306183
a = 3541291.007500; b = 3304577.574199; cout = 113624914372.575470
a = 3541292.439683; b = 3314442.084348; cout = 113219434138.169113
a = 3541293.871866; b = 3324306.594498; cout = 113009308946.070831
a = 3541295.304049; b = 3334171.104647; cout = 112994538796.300491
a = 3541296.736232; b = 3344035.614797; cout = 113175123688.845444
a = 3541298.168415; b = 3353900.124946; cout = 113551063623.709610
a = 3541299.600598; b = 3363764.635095; cout = 114122358600.886230
a = 3541301.032781; b = 3373629.145245; cout = 114889008620.386719
a = 3541302.464964; b = 3383493.655394; cout = 115851013682.202927
a = 3541303.897147; b = 3393358.165543; cout = 117008373786.337311
a = 3541305.329330; b = 3403222.675693; cout = 118361088932.785492
a = 3541306.761513; b = 3413087.185842; cout = 119909159121.555862
a = 3541308.193696; b = 3422951.695992; cout = 121652584352.642517
a = 3541309.625879; b = 3432816.206141; cout = 123591364626.052979
a = 3541311.058062; b = 3442680.716290; cout = 125725499941.771835
a = 3541312.490245; b = 3452545.226440; cout = 128054990299.813080
a = 3541313.922428; b = 3462409.736589; cout = 130579835700.175278
a = 3541315.354611; b = 3472274.246738; cout = 133300036142.853348
a = 3541316.786794; b = 3482138.756888; cout = 136215591627.846741
a = 3541318.218977; b = 3492003.267037; cout = 139326502155.159119
a = 3541319.651160; b = 3501867.777187; cout = 142632767724.790863
a = 3541321.083343; b = 3511732.287336; cout = 146134388336.740753
a = 3541322.515526; b = 3521596.797485; cout = 149831363991.006073
a = 3541323.947709; b = 3531461.307635; cout = 153723694687.591400
a = 3541325.379892; b = 3541325.817784; cout = 157811380426.493866
a = 3541326.812075; b = 3551190.327933; cout = 162094421207.715607
a = 3541328.244258; b = 3561054.838083; cout = 166572817031.252594
a = 3541329.676441; b = 3570919.348232; cout = 171246567897.110718
a = 3541331.108624; b = 3580783.858381; cout = 176115673805.282806
a = 3541332.540807; b = 3590648.368531; cout = 181180134755.776337
a = 3541333.972990; b = 3600512.878680; cout = 186439950748.586975
a = 3541335.405172; b = 3610377.388830; cout = 191895121783.717255
a = 3541336.837355; b = 3620241.898979; cout = 197545647861.161072
a = 3541338.269538; b = 3630106.409128; cout = 203391528980.925598
a = 3541339.701721; b = 3639970.919278; cout = 209432765143.004822
a = 3541341.133904; b = 3649835.429427; cout = 215669356347.406738
a = 3541342.566087; b = 3659699.939576; cout = 222101302594.120819
a = 3541343.998270; b = 3669564.449726; cout = 228728603883.157288
a = 3541345.430453; b = 3679428.959875; cout = 235551260214.511566
a = 3541346.862636; b = 3689293.470025; cout = 242569271588.187714
a = 3541324.607830; b = 3699156.992883; cout = 249665419275.009430
a = 3551184.872757; b = 3107291.104782; cout = 68981992546.882614
a = 3551156.373667; b = 3117153.313544; cout = 67704724055.303703
a = 3551157.805850; b = 3127017.823693; cout = 66423960721.763603
a = 3551159.238033; b = 3136882.333843; cout = 65338552430.536781
a = 3551160.670216; b = 3146746.843992; cout = 64448499181.627785
a = 3551162.102399; b = 3156611.354142; cout = 63753800975.046028
a = 3551163.534582; b = 3166475.864291; cout = 63254457810.776596
a = 3551164.966765; b = 3176340.374440; cout = 62950469688.817398
a = 3551166.398948; b = 3186204.884590; cout = 62841836609.178062
a = 3551167.831131; b = 3196069.394739; cout = 62928558571.858574
a = 3551169.263314; b = 3205933.904888; cout = 63210635576.863968
a = 3551170.695497; b = 3215798.415038; cout = 63688067624.179787
a = 3551172.127680; b = 3225662.925187; cout = 64360854713.816620
a = 3551173.559863; b = 3235527.435337; cout = 65228996845.770538
a = 3551174.992046; b = 3245391.945486; cout = 66292494020.045425
a = 3551176.424229; b = 3255256.455635; cout = 67551346236.632393
a = 3551177.856412; b = 3265120.965785; cout = 69005553495.539185
a = 3551179.288595; b = 3274985.475934; cout = 70655115796.765411
a = 3551180.720778; b = 3284849.986083; cout = 72500033140.310501
a = 3551182.152961; b = 3294714.496233; cout = 74540305526.169601
a = 3551183.585144; b = 3304579.006382; cout = 76775932954.349472
a = 3551185.017327; b = 3314443.516531; cout = 79206915424.847275
a = 3551186.449509; b = 3324308.026681; cout = 81833252937.663635
a = 3551187.881692; b = 3334172.536830; cout = 84654945492.795013
a = 3551189.313875; b = 3344037.046980; cout = 87671993090.247040
a = 3551190.746058; b = 3353901.557129; cout = 90884395730.015793
a = 3551192.178241; b = 3363766.067278; cout = 94292153412.103363
a = 3551193.610424; b = 3373630.577428; cout = 97895266136.506668
a = 3551195.042607; b = 3383495.087577; cout = 101693733903.231216
a = 3551196.474790; b = 3393359.597726; cout = 105687556712.270416
a = 3551197.906973; b = 3403224.107876; cout = 109876734563.629852
a = 3551199.339156; b = 3413088.618025; cout = 114261267457.304596
a = 3551200.771339; b = 3422953.128175; cout = 118841155393.302536
a = 3551202.203522; b = 3432817.638324; cout = 123616398371.614258
a = 3551203.635705; b = 3442682.148473; cout = 128586996392.244904
a = 3551205.067888; b = 3452546.658623; cout = 133752949455.189926
a = 3561050.281629; b = 2979053.247555; cout = 31377763606.961262
a = 3561030.332932; b = 2988916.113785; cout = 30299671721.630474
a = 3561031.765115; b = 2998780.623935; cout = 29315755542.856960
a = 3561033.197298; b = 3008645.134084; cout = 28527194406.406960
a = 3561034.629481; b = 3018509.644233; cout = 27933988312.274921
a = 3561036.061663; b = 3028374.154383; cout = 27536137260.459709
a = 3561037.493846; b = 3038238.664532; cout = 27333641250.961178
a = 3561038.926029; b = 3048103.174681; cout = 27326500283.781250
a = 3561040.358212; b = 3057967.684831; cout = 27514714358.919544
a = 3561041.790395; b = 3067832.194980; cout = 27898283476.374527
a = 3561043.222578; b = 3077696.705130; cout = 28477207636.149082
a = 3561044.654761; b = 3087561.215279; cout = 29251486838.240025
a = 3561046.086944; b = 3097425.725428; cout = 30221121082.650578
a = 3561047.519127; b = 3107290.235578; cout = 31386110369.377583
a = 3561048.951310; b = 3117154.745727; cout = 32746454698.423256
a = 3561050.383493; b = 3127019.255876; cout = 34302154069.787239
a = 3561051.815676; b = 3136883.766026; cout = 36053208483.469086
a = 3561053.247859; b = 3146748.276175; cout = 37999617939.468353
a = 3561054.680042; b = 3156612.786325; cout = 40141382437.785599
a = 3561056.112225; b = 3166477.296474; cout = 42478501978.420738
a = 3561057.544408; b = 3176341.806623; cout = 45010976561.374130
a = 3561058.976591; b = 3186206.316773; cout = 47738806186.645607
a = 3561060.408774; b = 3196070.826922; cout = 50661990854.234154
a = 3561061.840957; b = 3205935.337071; cout = 53780530564.141022
a = 3561063.273140; b = 3215799.847221; cout = 57094425316.365036
a = 3561048.913242; b = 3225663.699138; cout = 60564979495.196808
a = 3570915.689276; b = 2850815.390266; cout = 8791328410.051521
a = 3570904.292196; b = 2860678.914026; cout = 7945094666.673923
a = 3570905.724379; b = 2870543.424176; cout = 7258025642.676086
a = 3570907.156562; b = 2880407.934325; cout = 6766311660.999645
a = 3570908.588745; b = 2890272.444474; cout = 6469952721.638867
a = 3570910.020928; b = 2900136.954624; cout = 6368948824.598726
a = 3570911.453111; b = 2910001.464773; cout = 6463299969.874507
a = 3570912.885294; b = 2919865.974923; cout = 6753006157.469012
a = 3570914.317477; b = 2929730.485072; cout = 7238067387.379882
a = 3570915.749660; b = 2939594.995221; cout = 7918483659.610187
a = 3570917.181843; b = 2949459.505371; cout = 8794254974.157740
a = 3570918.614026; b = 2959324.015520; cout = 9865381331.023594
a = 3570920.046209; b = 2969188.525669; cout = 11131862730.207518
a = 3570921.478392; b = 2979053.035819; cout = 12593699171.709177
a = 3570915.006638; b = 2988917.216450; cout = 14241387921.054317
a = 3580781.099372; b = 2722577.533102; cout = 1222676613.207347
a = 3580778.251461; b = 2732441.714268; cout = 640992890.441711
a = 3580779.683644; b = 2742306.224417; cout = 250771021.219738
a = 3580773.211890; b = 2752170.405048; cout = 56283753.302887
