a = -230.610201; b = 3511718.077515; cout = 9634090322012.396484
a = -157.568869; b = 4014808.095133; cout = 8637446710661.708984
a = -156.136686; b = 4024672.605282; cout = 8622983910166.863281
a = -154.704503; b = 4034537.115432; cout = 8608716464714.337891
a = -153.272320; b = 4044401.625581; cout = 8594644374304.126953
a = -151.840137; b = 4054266.135730; cout = 8580767638936.235352
a = -150.407954; b = 4064130.645880; cout = 8567086258610.660156
a = -148.975771; b = 4073995.156029; cout = 8553600233327.407227
a = -147.543588; b = 4083859.666178; cout = 8540309563086.467773
a = -146.111405; b = 4093724.176328; cout = 8527214247887.845703
a = -144.679222; b = 4103588.686477; cout = 8514314287731.543945
a = -143.247039; b = 4113453.196627; cout = 8501609682617.560547
a = -141.814856; b = 4123317.706776; cout = 8489100432545.895508
a = -140.382673; b = 4133182.216925; cout = 8476786537516.543945
a = -138.950490; b = 4143046.727075; cout = 8464667997529.514648
a = -137.518307; b = 4152911.237224; cout = 8452744812584.800781
a = -136.086124; b = 4162775.747373; cout = 8441016982682.406250
a = -134.653941; b = 4172640.257523; cout = 8429484507822.331055
a = -133.221758; b = 4182504.767672; cout = 8418147388004.571289
a = -131.789575; b = 4192369.277822; cout = 8407005623229.129883
a = -130.357393; b = 4202233.787971; cout = 8396059213496.010742
a = -128.925210; b = 4212098.298120; cout = 8385308158805.205078
a = -127.493027; b = 4221962.808270; cout = 8374752459156.717773
a = -126.060844; b = 4231827.318419; cout = 8364392114550.548828
a = -124.628661; b = 4241691.828568; cout = 8354227124986.696289
a = -123.196478; b = 4251556.338718; cout = 8344257490465.165039
a = -121.764295; b = 4261420.848867; cout = 8334483210985.947266
a = -120.332112; b = 4271285.359017; cout = 8324904286549.052734
a = -118.899929; b = 4281149.869166; cout = 8315520717154.470703
a = -117.467746; b = 4291014.379315; cout = 8306332502802.212891
a = -116.035563; b = 4300878.889465; cout = 8297339643492.268555
a = -114.603380; b = 4310743.399614; cout = 8288542139224.642578
a = -113.171197; b = 4320607.909763; cout = 8279939989999.333984
a = -111.739014; b = 4330472.419913; cout = 8271533195816.341797
a = -110.306831; b = 4340336.930062; cout = 8263321756675.674805
a = -108.874648; b = 4350201.440211; cout = 8255305672577.318359
a = -107.442465; b = 4360065.950361; cout = 8247484943521.282227
a = -106.010282; b = 4369930.460510; cout = 8239859569507.563477
a = -104.578099; b = 4379794.970660; cout = 8232429550536.162109
a = -103.145916; b = 4389659.480809; cout = 8225194886607.081055
a = -101.713733; b = 4399523.990958; cout = 8218155577720.314453
a = -100.281550; b = 4409388.501108; cout = 8211311623875.872070
a = -98.849367; b = 4419253.011257; cout = 8204663025073.741211
a = -97.417184; b = 4429117.521406; cout = 8198209781313.930664
a = -95.985001; b = 4438982.031556; cout = 8191951892596.438477
a = -94.552818; b = 4448846.541705; cout = 8185889358921.262695
a = -93.120635; b = 4458711.051855; cout = 8180022180288.409180
a = -91.688452; b = 4468575.562004; cout = 8174350356697.866211
a = -90.256269; b = 4478440.072153; cout = 8168873888149.642578
a = -88.824086; b = 4488304.582303; cout = 8163592774643.739258
a = -87.391903; b = 4498169.092452; cout = 8158507016180.158203
a = -85.959720; b = 4508033.602601; cout = 8153616612758.889648
a = -84.527537; b = 4517898.112751; cout = 8148921564379.938477
a = -83.095354; b = 4527762.622900; cout = 8144421871043.307617
a = -81.663171; b = 4537627.133050; cout = 8140117532748.996094
a = -80.230988; b = 4547491.643199; cout = 8136008549496.997070
a = -78.798805; b = 4557356.153348; cout = 8132094921287.319336
a = -77.366622; b = 4567220.663498; cout = 8128376648119.958984
a = -75.934439; b = 4577085.173647; cout = 8124853729994.916992
a = -74.502256; b = 4586949.683796; cout = 8121526166912.193359
a = -73.070073; b = 4596814.193946; cout = 8118393958871.787109
a = -71.637890; b = 4606678.704095; cout = 8115457105873.698242
a = -70.205707; b = 4616543.214244; cout = 8112715607917.925781
a = -68.773524; b = 4626407.724394; cout = 8110169465004.472656
a = -67.341341; b = 4636272.234543; cout = 8107818677133.339844
a = -65.909158; b = 4646136.744693; cout = 8105663244304.522461
a = -64.476975; b = 4656001.254842; cout = 8103703166518.020508
a = -63.044792; b = 4665865.764991; cout = 8101938443773.842773
a = -61.612609; b = 4675730.275141; cout = 8100369076071.981445
a = -60.180427; b = 4685594.785290; cout = 8098995063412.434570
a = -58.748244; b = 4695459.295439; cout = 8097816405795.206055
a = -57.316061; b = 4705323.805589; cout = 8096833103220.293945
a = -55.883878; b = 4715188.315738; cout = 8096045155687.703125
a = -54.451695; b = 4725052.825888; cout = 8095452563197.432617
a = -53.019512; b = 4734917.336037; cout = 8095055325749.473633
a = -51.587329; b = 4744781.846186; cout = 8094853443343.837891
a = -50.155146; b = 4754646.356336; cout = 8094846915980.516602
a = -48.722963; b = 4764510.866485; cout = 8095035743659.514648
a = -47.290780; b = 4774375.376634; cout = 8095419926380.831055
a = -45.858597; b = 4784239.886784; cout = 8095999464144.463867
a = -44.426414; b = 4794104.396933; cout = 8096774356950.416992
a = -42.994231; b = 4803968.907083; cout = 8097744604798.685547
a = -41.562048; b = 4813833.417232; cout = 8098910207689.268555
a = -40.129865; b = 4823697.927381; cout = 8100271165622.177734
a = -38.697682; b = 4833562.437531; cout = 8101827478597.399414
a = -37.265499; b = 4843426.947680; cout = 8103579146614.941406
a = -35.833316; b = 4853291.457829; cout = 8105526169674.801758
a = -34.401133; b = 4863155.967979; cout = 8107668547776.977539
a = -32.968950; b = 4873020.478128; cout = 8110006280921.472656
a = -31.536767; b = 4882884.988277; cout = 8112539369108.285156
a = -30.104584; b = 4892749.498427; cout = 8115267812337.417969
a = -28.672401; b = 4902614.008576; cout = 8118191610608.865234
a = -27.240218; b = 4912478.518726; cout = 8121310763922.627930
a = -25.808035; b = 4922343.028875; cout = 8124625272278.714844
a = -24.375852; b = 4932207.539024; cout = 8128135135677.118164
a = -22.943669; b = 4942072.049174; cout = 8131840354117.838867
a = -21.511486; b = 4951936.559323; cout = 8135740927600.875000
a = -20.079303; b = 4961801.069472; cout = 8139836856126.230469
a = -18.647120; b = 4971665.579622; cout = 8144128139693.903320
a = -17.214937; b = 4981530.089771; cout = 8148614778303.896484
a = -15.782754; b = 4991394.599921; cout = 8153296771956.206055
a = -14.350571; b = 5001259.110070; cout = 8158174120650.834961
a = -12.918388; b = 5011123.620219; cout = 8163246824387.778320
a = -11.486205; b = 5020988.130369; cout = 8168514883167.041016
a = -10.054022; b = 5030852.640518; cout = 8173978296988.624023
a = -8.621839; b = 5040717.150667; cout = 8179637065852.522461
a = -7.189656; b = 5050581.660817; cout = 8185491189758.738281
a = -5.757473; b = 5060446.170966; cout = 8191540668707.274414
a = -4.325290; b = 5070310.681116; cout = 8197785502698.128906
a = -2.893107; b = 5080175.191265; cout = 8204225691731.297852
a = -1.460924; b = 5090039.701414; cout = 8210861235806.786133
a = -0.028741; b = 5099904.211564; cout = 8217692134924.591797
a = 1.403442; b = 5109768.721713; cout = 8224718389084.715820
a = 2.835625; b = 5119633.231862; cout = 8231939998287.159180
a = 4.267808; b = 5129497.742012; cout = 8239356962531.919922
a = 5.699991; b = 5139362.252161; cout = 8246969281818.998047
a = 7.132174; b = 5149226.762310; cout = 8254776956148.394531
a = 8.564356; b = 5159091.272460; cout = 8262779985520.106445
a = 9.996539; b = 5168955.782609; cout = 8270978369934.139648
a = 11.428722; b = 5178820.292759; cout = 8279372109390.489258
a = 12.860905; b = 5188684.802908; cout = 8287961203889.158203
a = 14.293088; b = 5198549.313057; cout = 8296745653430.142578
a = 15.725271; b = 5208413.823207; cout = 8305725458013.443359
a = 17.157454; b = 5218278.333356; cout = 8314900617639.066406
a = 18.589637; b = 5228142.843505; cout = 8324271132307.008789
a = 20.021820; b = 5238007.353655; cout = 8333837002017.263672
a = 21.454003; b = 5247871.863804; cout = 8343598226769.838867
a = 22.886186; b = 5257736.373954; cout = 8353554806564.732422
a = 24.318369; b = 5267600.884103; cout = 8363706741401.944336
a = 25.750552; b = 5277465.394252; cout = 8374054031281.470703
a = 27.182735; b = 5287329.904402; cout = 8384596676203.316406
a = 28.614918; b = 5297194.414551; cout = 8395334676167.479492
a = 30.047101; b = 5307058.924700; cout = 8406268031173.963867
a = 31.479284; b = 5316923.434850; cout = 8417396741222.762695
a = 32.911467; b = 5326787.944999; cout = 8428720806313.881836
a = 34.343650; b = 5336652.455149; cout = 8440240226447.319336
a = 35.775833; b = 5346516.965298; cout = 8451955001623.074219
a = 37.208016; b = 5356381.475447; cout = 8463865131841.143555
a = 38.640199; b = 5366245.985597; cout = 8475970617101.534180
a = 40.072382; b = 5376110.495746; cout = 8488271457404.241211
a = 41.504565; b = 5385975.005895; cout = 8500767652749.267578
a = 42.936748; b = 5395839.516045; cout = 8513459203136.614258
a = 44.368931; b = 5405704.026194; cout = 8526346108566.272461
a = 45.801114; b = 5415568.536343; cout = 8539428369038.250977
a = 47.233297; b = 5425433.046493; cout = 8552705984552.547852
a = 48.665480; b = 5435297.556642; cout = 8566178955109.166016
a = 50.097663; b = 5445162.066792; cout = 8579847280708.097656
a = 51.529846; b = 5455026.576941; cout = 8593710961349.352539
a = 52.962029; b = 5464891.087090; cout = 8607769997032.913086
a = 54.394212; b = 5474755.597240; cout = 8622024387758.802734
a = 55.826395; b = 5484620.107389; cout = 8636474133527.011719
a = 57.258578; b = 5494484.617538; cout = 8651119234337.530273
a = 58.690761; b = 5504349.127688; cout = 8665959690190.371094
a = 60.122944; b = 5514213.637837; cout = 8680995501085.527344
a = 61.555127; b = 5524078.147987; cout = 8696226667023.006836
a = 62.987310; b = 5533942.658136; cout = 8711653188002.800781
a = 64.419493; b = 5543807.168285; cout = 8727275064024.910156
a = 65.851676; b = 5553671.678435; cout = 8743092295089.343750
a = 67.283859; b = 5563536.188584; cout = 8759104881196.092773
a = 68.716042; b = 5573400.698733; cout = 8775312822345.154297
a = 70.148225; b = 5583265.208883; cout = 8791716118536.542969
a = 71.580408; b = 5593129.719032; cout = 8808314769770.240234
a = 73.012591; b = 5602994.229182; cout = 8825108776046.259766
a = 74.444774; b = 5612858.739331; cout = 8842098137364.599609
a = 75.876957; b = 5622723.249480; cout = 8859282853725.255859
a = 77.309140; b = 5632587.759630; cout = 8876662925128.228516
a = 78.741322; b = 5642452.269779; cout = 8894238351573.519531
a = 80.173505; b = 5652316.779928; cout = 8912009133061.128906
a = 81.605688; b = 5662181.290078; cout = 8929975269591.052734
a = 83.037871; b = 5672045.800227; cout = 8948136761163.300781
a = 84.470054; b = 5681910.310376; cout = 8966493607777.861328
a = 85.902237; b = 5691774.820526; cout = 8985045809434.742188
a = 87.334420; b = 5701639.330675; cout = 9003793366133.939453
a = 88.766603; b = 5711503.840825; cout = 9022736277875.457031
a = 90.198786; b = 5721368.350974; cout = 9041874544659.294922
a = 91.630969; b = 5731232.861123; cout = 9061208166485.443359
a = 93.063152; b = 5741097.371273; cout = 9080737143353.914062
a = 94.495335; b = 5750961.881422; cout = 9100461475264.699219
a = 95.927518; b = 5760826.391571; cout = 9120381162217.806641
a = 97.359701; b = 5770690.901721; cout = 9140496204213.232422
a = 98.791884; b = 5780555.411870; cout = 9160806601250.972656
a = 100.224067; b = 5790419.922020; cout = 9181312353331.029297
a = 101.656250; b = 5800284.432169; cout = 9202013460453.408203
a = 103.088433; b = 5810148.942318; cout = 9222909922618.103516
a = 104.520616; b = 5820013.452468; cout = 9244001739825.121094
a = 105.952799; b = 5829877.962617; cout = 9265288912074.449219
a = 107.384982; b = 5839742.472766; cout = 9286771439366.099609
a = 108.817165; b = 5849606.982916; cout = 9308449321700.062500
a = 110.249348; b = 5859471.493065; cout = 9330322559076.347656
a = 111.681531; b = 5869336.003215; cout = 9352391151494.955078
a = 113.113714; b = 5879200.513364; cout = 9374655098955.876953
a = 114.545897; b = 5889065.023513; cout = 9397114401459.107422
a = 115.978080; b = 5898929.533663; cout = 9419769059004.669922
a = 117.410263; b = 5908794.043812; cout = 9442619071592.544922
a = 118.842446; b = 5918658.553961; cout = 9465664439222.736328
a = 120.274629; b = 5928523.064111; cout = 9488905161895.246094
a = 121.706812; b = 5938387.574260; cout = 9512341239610.070312
a = 123.138995; b = 5948252.084409; cout = 9535972672367.222656
a = 124.571178; b = 5958116.594559; cout = 9559799460166.685547
a = 126.003361; b = 5967981.104708; cout = 9583821603008.468750
a = 127.435544; b = 5977845.614858; cout = 9608039100892.564453
a = 128.867727; b = 5987710.125007; cout = 9632451953818.980469
a = 9634.755966; b = 3324293.816860; cout = 9652572926847.232422
a = 9636.188149; b = 3334158.327009; cout = 9627271736095.041016
a = 9637.620332; b = 3344022.837159; cout = 9602165900385.162109
a = 9639.052515; b = 3353887.347308; cout = 9577255419717.603516
a = 9640.484698; b = 3363751.857457; cout = 9552540294092.369141
a = 9641.916881; b = 3373616.367607; cout = 9528020523509.445312
a = 9643.349064; b = 3383480.877756; cout = 9503696107968.843750
a = 9644.781247; b = 3393345.387906; cout = 9479567047470.556641
a = 9646.213430; b = 3403209.898055; cout = 9455633342014.589844
a = 9647.645613; b = 3413074.408204; cout = 9431894991600.939453
a = 9649.077795; b = 3422938.918354; cout = 9408351996229.605469
a = 9650.509978; b = 3432803.428503; cout = 9385004355900.591797
a = 9651.942161; b = 3442667.938652; cout = 9361852070613.898438
a = 9653.374344; b = 3452532.448802; cout = 9338895140369.517578
a = 9654.806527; b = 3462396.958951; cout = 9316133565167.457031
a = 9656.238710; b = 3472261.469100; cout = 9293567345007.712891
a = 9657.670893; b = 3482125.979250; cout = 9271196479890.291016
a = 9659.103076; b = 3491990.489399; cout = 9249020969815.183594
a = 9660.535259; b = 3501854.999549; cout = 9227040814782.396484
a = 9661.967442; b = 3511719.509698; cout = 9205256014791.925781
a = 9663.399625; b = 3521584.019847; cout = 9183666569843.773438
a = 9664.831808; b = 3531448.529997; cout = 9162272479937.939453
a = 9666.263991; b = 3541313.040146; cout = 9141073745074.419922
a = 9667.696174; b = 3551177.550295; cout = 9120070365253.222656
a = 9669.128357; b = 3561042.060445; cout = 9099262340474.337891
a = 9670.560540; b = 3570906.570594; cout = 9078649670737.777344
a = 9671.992723; b = 3580771.080744; cout = 9058232356043.535156
a = 9673.424906; b = 3590635.590893; cout = 9038010396391.603516
a = 9674.857089; b = 3600500.101042; cout = 9017983791781.996094
a = 9676.289272; b = 3610364.611192; cout = 8998152542214.701172
a = 9677.721455; b = 3620229.121341; cout = 8978516647689.730469
a = 9679.153638; b = 3630093.631490; cout = 8959076108207.074219
a = 9680.585821; b = 3639958.141640; cout = 8939830923766.736328
a = 9682.018004; b = 3649822.651789; cout = 8920781094368.716797
a = 9683.450187; b = 3659687.161939; cout = 8901926620013.013672
a = 9684.882370; b = 3669551.672088; cout = 8883267500699.628906
a = 9686.314553; b = 3679416.182237; cout = 8864803736428.564453
a = 9687.746736; b = 3689280.692387; cout = 8846535327199.818359
a = 9689.178919; b = 3699145.202536; cout = 8828462273013.388672
a = 9690.611102; b = 3709009.712685; cout = 8810584573869.273438
a = 9692.043285; b = 3718874.222835; cout = 8792902229767.479492
a = 9693.475468; b = 3728738.732984; cout = 8775415240708.004883
a = 9694.907651; b = 3738603.243133; cout = 8758123606690.845703
a = 9696.339834; b = 3748467.753283; cout = 8741027327716.003906
a = 9697.772017; b = 3758332.263432; cout = 8724126403783.480469
a = 9699.204200; b = 3768196.773582; cout = 8707420834893.276367
a = 9700.636383; b = 3778061.283731; cout = 8690910621045.390625
a = 9702.068566; b = 3787925.793880; cout = 8674595762239.819336
a = 9703.500749; b = 3797790.304030; cout = 8658476258476.569336
a = 9704.932932; b = 3807654.814179; cout = 8642552109755.635742
a = 9706.365115; b = 3817519.324328; cout = 8626823316077.020508
a = 9707.797298; b = 3827383.834478; cout = 8611289877440.723633
a = 9709.229481; b = 3837248.344627; cout = 8595951793846.743164
a = 9710.661664; b = 3847112.854777; cout = 8580809065295.084961
a = 9712.093847; b = 3856977.364926; cout = 8565861691785.740234
a = 9713.526030; b = 3866841.875075; cout = 8551109673318.713867
a = 9714.958213; b = 3876706.385225; cout = 8536553009894.004883
a = 9716.390396; b = 3886570.895374; cout = 8522191701511.619141
a = 9717.822579; b = 3896435.405523; cout = 8508025748171.544922
a = 9719.254761; b = 3906299.915673; cout = 8494055149873.790039
a = 9720.686944; b = 3916164.425822; cout = 8480279906618.354492
a = 9722.119127; b = 3926028.935972; cout = 8466700018405.235352
a = 9723.551310; b = 3935893.446121; cout = 8453315485234.434570
a = 9724.983493; b = 3945757.956270; cout = 8440126307105.954102
a = 9726.415676; b = 3955622.466420; cout = 8427132484019.790039
a = 9727.847859; b = 3965486.976569; cout = 8414334015975.944336
a = 9729.280042; b = 3975351.486718; cout = 8401730902974.416016
a = 9730.712225; b = 3985215.996868; cout = 8389323145015.204102
a = 9732.144408; b = 3995080.507017; cout = 8377110742098.312500
a = 9733.576591; b = 4004945.017166; cout = 8365093694223.738281
a = 9735.008774; b = 4014809.527316; cout = 8353272001391.480469
a = 9736.440957; b = 4024674.037465; cout = 8341645663601.542969
a = 9737.873140; b = 4034538.547615; cout = 8330214680853.920898
a = 9739.305323; b = 4044403.057764; cout = 8318979053148.618164
a = 9740.737506; b = 4054267.567913; cout = 8307938780485.631836
a = 9742.169689; b = 4064132.078063; cout = 8297093862864.962891
a = 9743.601872; b = 4073996.588212; cout = 8286444300286.616211
a = 9745.034055; b = 4083861.098361; cout = 8275990092750.584961
a = 9746.466238; b = 4093725.608511; cout = 8265731240256.870117
a = 9747.898421; b = 4103590.118660; cout = 8255667742805.477539
a = 9749.330604; b = 4113454.628810; cout = 8245799600396.396484
a = 9750.762787; b = 4123319.138959; cout = 8236126813029.638672
a = 9752.194970; b = 4133183.649108; cout = 8226649380705.193359
a = 9753.627153; b = 4143048.159258; cout = 8217367303423.072266
a = 9755.059336; b = 4152912.669407; cout = 8208280581183.266602
a = 9756.491519; b = 4162777.179556; cout = 8199389213985.777344
a = 9757.923702; b = 4172641.689706; cout = 8190693201830.608398
a = 9759.355885; b = 4182506.199855; cout = 8182192544717.754883
a = 9760.788068; b = 4192370.710005; cout = 8173887242647.221680
a = 9762.220251; b = 4202235.220154; cout = 8165777295619.004883
a = 9763.652434; b = 4212099.730303; cout = 8157862703633.109375
a = 9765.084617; b = 4221964.240453; cout = 8150143466689.529297
a = 9766.516800; b = 4231828.750602; cout = 8142619584788.264648
a = 9767.948983; b = 4241693.260751; cout = 8135291057929.319336
a = 9769.381166; b = 4251557.770901; cout = 8128157886112.693359
a = 9770.813349; b = 4261422.281050; cout = 8121220069338.384766
a = 9772.245532; b = 4271286.791199; cout = 8114477607606.395508
a = 9773.677715; b = 4281151.301349; cout = 8107930500916.720703
a = 9775.109898; b = 4291015.811498; cout = 8101578749269.369141
a = 9776.542081; b = 4300880.321648; cout = 8095422352664.329102
a = 9777.974264; b = 4310744.831797; cout = 8089461311101.610352
a = 9779.406447; b = 4320609.341946; cout = 8083695624581.207031
a = 9780.838630; b = 4330473.852096; cout = 8078125293103.126953
a = 9782.270813; b = 4340338.362245; cout = 8072750316667.361328
a = 9783.702996; b = 4350202.872394; cout = 8067570695273.916992
a = 9785.135179; b = 4360067.382544; cout = 8062586428922.783203
a = 9786.567362; b = 4369931.892693; cout = 8057797517613.972656
a = 9787.999545; b = 4379796.402843; cout = 8053203961347.481445
a = 9789.431727; b = 4389660.912992; cout = 8048805760123.302734
a = 9790.863910; b = 4399525.423141; cout = 8044602913941.442383
a = 9792.296093; b = 4409389.933291; cout = 8040595422801.906250
a = 9793.728276; b = 4419254.443440; cout = 8036783286704.684570
a = 9795.160459; b = 4429118.953589; cout = 8033166505649.780273
a = 9796.592642; b = 4438983.463739; cout = 8029745079637.192383
a = 9798.024825; b = 4448847.973888; cout = 8026519008666.924805
a = 9799.457008; b = 4458712.484038; cout = 8023488292738.972656
a = 9800.889191; b = 4468576.994187; cout = 8020652931853.339844
a = 9802.321374; b = 4478441.504336; cout = 8018012926010.027344
a = 9803.753557; b = 4488306.014486; cout = 8015568275209.031250
a = 9805.185740; b = 4498170.524635; cout = 8013318979450.349609
a = 9806.617923; b = 4508035.034784; cout = 8011265038733.987305
a = 9808.050106; b = 4517899.544934; cout = 8009406453059.946289
a = 9809.482289; b = 4527764.055083; cout = 8007743222428.222656
a = 9810.914472; b = 4537628.565232; cout = 8006275346838.814453
a = 9812.346655; b = 4547493.075382; cout = 8005002826291.724609
a = 9813.778838; b = 4557357.585531; cout = 8003925660786.953125
a = 9815.211021; b = 4567222.095681; cout = 8003043850324.500000
a = 9816.643204; b = 4577086.605830; cout = 8002357394904.365234
a = 9818.075387; b = 4586951.115979; cout = 8001866294526.546875
a = 9819.507570; b = 4596815.626129; cout = 8001570549191.046875
a = 9820.939753; b = 4606680.136278; cout = 8001470158897.864258
a = 9822.371936; b = 4616544.646427; cout = 8001565123647.000000
a = 9823.804119; b = 4626409.156577; cout = 8001855443438.452148
a = 9825.236302; b = 4636273.666726; cout = 8002341118272.228516
a = 9826.668485; b = 4646138.176876; cout = 8003022148148.317383
a = 9828.100668; b = 4656002.687025; cout = 8003898533066.721680
a = 9829.532851; b = 4665867.197174; cout = 8004970273027.449219
a = 9830.965034; b = 4675731.707324; cout = 8006237368030.490234
a = 9832.397217; b = 4685596.217473; cout = 8007699818075.852539
a = 9833.829400; b = 4695460.727622; cout = 8009357623163.532227
a = 9835.261583; b = 4705325.237772; cout = 8011210783293.530273
a = 9836.693766; b = 4715189.747921; cout = 8013259298465.843750
a = 9838.125949; b = 4725054.258071; cout = 8015503168680.477539
a = 9839.558132; b = 4734918.768220; cout = 8017942393937.424805
a = 9840.990315; b = 4744783.278369; cout = 8020576974236.698242
a = 9842.422498; b = 4754647.788519; cout = 8023406909578.284180
a = 9843.854681; b = 4764512.298668; cout = 8026432199962.186523
a = 9845.286864; b = 4774376.808817; cout = 8029652845388.408203
a = 9846.719047; b = 4784241.318967; cout = 8033068845856.949219
a = 9848.151230; b = 4794105.829116; cout = 8036680201367.807617
a = 9849.583413; b = 4803970.339265; cout = 8040486911920.984375
a = 9851.015596; b = 4813834.849415; cout = 8044488977516.479492
a = 9852.447779; b = 4823699.359564; cout = 8048686398154.287109
a = 9853.879962; b = 4833563.869714; cout = 8053079173834.417969
a = 9855.312145; b = 4843428.379863; cout = 8057667304556.868164
a = 9856.744328; b = 4853292.890012; cout = 8062450790321.633789
a = 9858.176511; b = 4863157.400162; cout = 8067429631128.717773
a = 9859.608693; b = 4873021.910311; cout = 8072603826978.115234
a = 9861.040876; b = 4882886.420460; cout = 8077973377869.837891
a = 9862.473059; b = 4892750.930610; cout = 8083538283803.873047
a = 9863.905242; b = 4902615.440759; cout = 8089298544780.230469
a = 9865.337425; b = 4912479.950909; cout = 8095254160798.901367
a = 9866.769608; b = 4922344.461058; cout = 8101405131859.892578
a = 9868.201791; b = 4932208.971207; cout = 8107751457963.200195
a = 9869.633974; b = 4942073.481357; cout = 8114293139108.828125
a = 9871.066157; b = 4951937.991506; cout = 8121030175296.775391
a = 9872.498340; b = 4961802.501655; cout = 8127962566527.034180
a = 9873.930523; b = 4971667.011805; cout = 8135090312799.615234
a = 9875.362706; b = 4981531.521954; cout = 8142413414114.515625
a = 9876.794889; b = 4991396.032104; cout = 8149931870471.728516
a = 9878.227072; b = 5001260.542253; cout = 8157645681871.263672
a = 9879.659255; b = 5011125.052402; cout = 8165554848313.114258
a = 9881.091438; b = 5020989.562552; cout = 8173659369797.285156
a = 9882.523621; b = 5030854.072701; cout = 8181959246323.774414
a = 9883.955804; b = 5040718.582850; cout = 8190454477892.578125
a = 9885.387987; b = 5050583.093000; cout = 8199145064503.704102
a = 9886.820170; b = 5060447.603149; cout = 8208031006157.144531
a = 9888.252353; b = 5070312.113298; cout = 8217112302852.904297
a = 9889.684536; b = 5080176.623448; cout = 8226388954590.980469
a = 9891.116719; b = 5090041.133597; cout = 8235860961371.374023
a = 9892.548902; b = 5099905.643747; cout = 8245528323194.089844
a = 9893.981085; b = 5109770.153896; cout = 8255391040059.118164
a = 9895.413268; b = 5119634.664045; cout = 8265449111966.468750
a = 9896.845451; b = 5129499.174195; cout = 8275702538916.136719
a = 9898.277634; b = 5139363.684344; cout = 8286151320908.121094
a = 9899.709817; b = 5149228.194493; cout = 8296795457942.425781
a = 9901.142000; b = 5159092.704643; cout = 8307634950019.043945
a = 9902.574183; b = 5168957.214792; cout = 8318669797137.980469
a = 9904.006366; b = 5178821.724942; cout = 8329899999299.235352
a = 9905.438549; b = 5188686.235091; cout = 8341325556502.810547
a = 9906.870732; b = 5198550.745240; cout = 8352946468748.705078
a = 9908.302915; b = 5208415.255390; cout = 8364762736036.911133
